vessel_class,year,baseline_year,value,baseline,contribution,fleet_contribution,share_of_year_growth
Cargo: bulk carrier,2017,2017,125021071.98603337,125021071.98603337,0,0,NA
Cargo: container,2017,2017,144657563.11947054,144657563.11947054,0,0,NA
Cargo: general,2017,2017,79665998.50862876,79665998.50862876,0,0,NA
Cargo: ro ro,2017,2017,36367137.91548898,36367137.91548898,0,0,NA
Fishing,2017,2017,28835407.77740915,28835407.77740915,0,0,NA
Other,2017,2017,24282583.367328975,24282583.367328975,0,0,NA
Passenger,2017,2017,129039901.68398152,129039901.68398152,0,0,NA
Seismic vessel,2017,2017,2015746.6298642196,2015746.6298642196,0,0,NA
Tanker: chemical,2017,2017,57188787.39932359,57188787.39932359,0,0,NA
Tanker: liquefied gas,2017,2017,45181191.1497739,45181191.1497739,0,0,NA
Tanker: oil,2017,2017,139620367.924315,139620367.924315,0,0,NA
Tug,2017,2017,12342897.34818004,12342897.34818004,0,0,NA
Passenger,2018,2017,145641128.4702955,129039901.68398152,16601226.786313966,37199319.492840216,0.4462777011151835
Tanker: liquefied gas,2018,2017,50527004.95482672,45181191.1497739,5345813.805052817,37199319.492840216,0.1437073010457014
Cargo: container,2018,2017,149750984.1630339,144657563.11947054,5093421.043563366,37199319.492840216,0.13692242527564788
Tanker: oil,2018,2017,142963511.3722871,139620367.924315,3343143.447972089,37199319.492840216,0.08987109155627288
Fishing,2018,2017,31526825.952819582,28835407.77740915,2691418.175410431,37199319.492840216,0.07235127448846075
Tanker: chemical,2018,2017,58237604.61102278,57188787.39932359,1048817.2116991878,37199319.492840216,0.02819452683539156
Tug,2018,2017,13217610.635554478,12342897.34818004,874713.2873744369,37199319.492840216,0.023514228198254907
Cargo: bulk carrier,2018,2017,125825264.7715759,125021071.98603337,804192.7855425328,37199319.492840216,0.02161848110413193
Cargo: general,2018,2017,80297563.11279272,79665998.50862876,631564.6041639596,37199319.492840216,0.016977853702015096
Other,2018,2017,24808326.30334772,24282583.367328975,525742.9360187463,37199319.492840216,0.01413313316443696
Cargo: ro ro,2018,2017,36533199.598138526,36367137.91548898,166061.68264954537,37199319.492840216,0.00446410538992541
Seismic vessel,2018,2017,2088950.3569433547,2015746.6298642196,73203.72707913513,37199319.492840216,0.0019678781245776474
Passenger,2019,2017,162440640.49047157,129039901.68398152,33400738.80649005,59863130.04828207,0.5579517606171107
Tanker: liquefied gas,2019,2017,54658019.47310535,45181191.1497739,9476828.323331445,59863130.04828207,0.15830826613456386
Tanker: oil,2019,2017,146703951.72681466,139620367.924315,7083583.802499652,59863130.04828207,0.11832965962164776
Fishing,2019,2017,33421050.490890536,28835407.77740915,4585642.713481385,59863130.04828207,0.07660212070071973
Tanker: chemical,2019,2017,59464932.039569974,57188787.39932359,2276144.640246384,59863130.04828207,0.03802247958652646
Tug,2019,2017,13635019.245227316,12342897.34818004,1292121.8970472757,59863130.04828207,0.021584603010319146
Cargo: general,2019,2017,80879029.53006512,79665998.50862876,1213031.0214363635,59863130.04828207,0.02026340788492022
Other,2019,2017,24845797.775577743,24282583.367328975,563214.4082487673,59863130.04828207,0.009408368853992629
Seismic vessel,2019,2017,2133850.7223091447,2015746.6298642196,118104.0924449251,59863130.04828207,0.0019729020575714852
Cargo: container,2019,2017,144658549.81711212,144657563.11947054,986.6976415812969,59863130.04828207,1.6482560146545707e-05
Cargo: ro ro,2019,2017,36355769.803863585,36367137.91548898,-11368.111625395715,59863130.04828207,-1.899017244208057e-4
Cargo: bulk carrier,2019,2017,124885173.743073,125021071.98603337,-135898.24296036363,59863130.04828207,-0.002270149303097852
Passenger,2020,2017,154242125.10085675,129039901.68398152,25202223.41687523,54836047.38853121,0.45959226853659396
Tanker: liquefied gas,2020,2017,58719950.17739247,45181191.1497739,13538759.027618565,54836047.38853121,0.24689523903304078
Tanker: oil,2020,2017,150425413.70255145,139620367.924315,10805045.778236449,54836047.38853121,0.19704275367768923
Fishing,2020,2017,34140748.69805578,28835407.77740915,5305340.92064663,54836047.38853121,0.09674914902338906
Tanker: chemical,2020,2017,60802998.050576806,57188787.39932359,3614210.651253216,54836047.38853121,0.06590939397300756
Cargo: bulk carrier,2020,2017,126975735.6371802,125021071.98603337,1954663.6511468291,54836047.38853121,0.035645597088670565
Tug,2020,2017,13820173.091219608,12342897.34818004,1477275.743039567,54836047.38853121,0.026939865533571167
Other,2020,2017,24944474.074627005,24282583.367328975,661890.7072980292,54836047.38853121,0.01207035770846718
Cargo: general,2020,2017,80295522.95715421,79665998.50862876,629524.4485254586,54836047.38853121,0.01148012080566408
Seismic vessel,2020,2017,1988976.104879931,2015746.6298642196,-26770.524984288495,54836047.38853121,-4.8819209733718825e-4
Cargo: ro ro,2020,2017,32556099.37244508,36367137.91548898,-3811038.5430439003,54836047.38853121,-0.06949878272665158
Cargo: container,2020,2017,140142485.23138997,144657563.11947054,-4515077.888080567,54836047.38853121,-0.08233777055610471
Passenger,2021,2017,178301525.33369884,129039901.68398152,49261623.649717316,116879951.96280576,0.4214719703631778
Tanker: liquefied gas,2021,2017,64343966.63568103,45181191.1497739,19162775.48590713,116879951.96280576,0.16395262972049496
Cargo: bulk carrier,2021,2017,136551128.8117731,125021071.98603337,11530056.825739726,116879951.96280576,0.09864871290680279
Cargo: container,2021,2017,154257739.15252152,144657563.11947054,9600176.033050984,116879951.96280576,0.08213706347266475
Tanker: oil,2021,2017,149030257.6629659,139620367.924315,9409889.738650888,116879951.96280576,0.08050901442571913
Fishing,2021,2017,36500437.16791431,28835407.77740915,7665029.390505157,116879951.96280576,0.0655803605475845
Tanker: chemical,2021,2017,62567204.081069864,57188787.39932359,5378416.681746274,116879951.96280576,0.04601658874276254
Tug,2021,2017,14762878.69430083,12342897.34818004,2419981.3461207896,116879951.96280576,0.02070484548873609
Cargo: general,2021,2017,81170628.58580953,79665998.50862876,1504630.077180773,116879951.96280576,0.012873294794470701
Other,2021,2017,25535550.841259677,24282583.367328975,1252967.4739307016,116879951.96280576,0.010720123108276332
Seismic vessel,2021,2017,2077036.0703799375,2015746.6298642196,61289.44051571796,116879951.96280576,5.243794122641482e-4
Cargo: ro ro,2021,2017,36000253.73522929,36367137.91548898,-366884.1802596897,116879951.96280576,-0.00313898298295367
Passenger,2022,2017,208166770.2187883,129039901.68398152,79126868.53480677,180305743.32115522,0.43884829777090545
Tanker: oil,2022,2017,162151422.98874107,139620367.924315,22531055.064426064,180305743.32115522,0.12496027386268234
Fishing,2022,2017,47338765.588762924,28835407.77740915,18503357.811353773,180305743.32115522,0.102622121018054
Tanker: liquefied gas,2022,2017,63218569.77494724,45181191.1497739,18037378.625173338,180305743.32115522,0.10003773752811465
Cargo: bulk carrier,2022,2017,141090997.75570878,125021071.98603337,16069925.769675419,180305743.32115522,0.08912597831701981
Cargo: container,2022,2017,158958093.6033738,144657563.11947054,14300530.483903259,180305743.32115522,0.07931267313227833
Tanker: chemical,2022,2017,66775469.69012551,57188787.39932359,9586682.29080192,180305743.32115522,0.05316903452002861
Tug,2022,2017,15629657.627314337,12342897.34818004,3286760.279134296,180305743.32115522,0.01822881633492959
Other,2022,2017,26685503.54628102,24282583.367328975,2402920.1789520457,180305743.32115522,0.01332691979019235
Cargo: ro ro,2022,2017,37606474.9126204,36367137.91548898,1239336.9971314222,180305743.32115522,0.006873530339651755
Seismic vessel,2022,2017,2202390.5858233552,2015746.6298642196,186643.95595913567,180305743.32115522,0.0010351525831691951
Cargo: general,2022,2017,74700281.83846653,79665998.50862876,-4965716.670162231,180305743.32115522,-0.02754053519702611
Passenger,2023,2017,213465820.94601735,129039901.68398152,84425919.26203583,230030512.1879374,0.3670205246209205
Tanker: oil,2023,2017,174816894.06031704,139620367.924315,35196526.136002034,230030512.1879374,0.15300807619489232
Fishing,2023,2017,59162929.02072274,28835407.77740915,30327521.24331359,230030512.1879374,0.13184129772547598
Tanker: liquefied gas,2023,2017,66086442.807460934,45181191.1497739,20905251.65768703,230030512.1879374,0.09088034217220373
Cargo: bulk carrier,2023,2017,145509641.1847849,125021071.98603337,20488569.198751524,230030512.1879374,0.08906891961363865
Cargo: container,2023,2017,158406584.5021816,144657563.11947054,13749021.382711053,230030512.1879374,0.05977042459253386
Tanker: chemical,2023,2017,69047726.1402187,57188787.39932359,11858938.740895115,230030512.1879374,0.051553764011994345
Other,2023,2017,30225223.441321034,24282583.367328975,5942640.073992059,230030512.1879374,0.025834138338729853
Tug,2023,2017,16511181.717925414,12342897.34818004,4168284.3697453737,230030512.1879374,0.018120571615037922
Cargo: general,2023,2017,81425668.68505669,79665998.50862876,1759670.1764279306,230030512.1879374,0.0076497250720820075
Cargo: ro ro,2023,2017,37299449.32313865,36367137.91548898,932311.4076496661,230030512.1879374,0.004052990182832604
Seismic vessel,2023,2017,2291605.16859039,2015746.6298642196,275858.53872617055,230030512.1879374,0.0011992258596580925
Passenger,2024,2017,244723898.73518443,129039901.68398152,115683997.05120291,314979319.47348064,0.3672748967918918
Tanker: oil,2024,2017,180245315.47983935,139620367.924315,40624947.55552435,314979319.47348064,0.1289765551066432
Fishing,2024,2017,64284949.7767592,28835407.77740915,35449541.99935005,314979319.47348064,0.11254561746659271
Cargo: container,2024,2017,179761894.70052737,144657563.11947054,35104331.58105683,314979319.47348064,0.11144963942311269
Cargo: bulk carrier,2024,2017,151508925.9413604,125021071.98603337,26487853.95532705,314979319.47348064,0.08409394622987991
Tanker: liquefied gas,2024,2017,70169270.72292992,45181191.1497739,24988079.57315602,314979319.47348064,0.07933244511076501
Tanker: chemical,2024,2017,70423545.66848482,57188787.39932359,13234758.269161232,314979319.47348064,0.04201786419274907
Other,2024,2017,33823379.33454904,24282583.367328975,9540795.967220064,314979319.47348064,0.030290229794033643
Cargo: general,2024,2017,85550848.94867006,79665998.50862876,5884850.440041304,314979319.47348064,0.018683291493163483
Tug,2024,2017,17915795.38631765,12342897.34818004,5572898.038137611,314979319.47348064,0.017692901386202962
Cargo: ro ro,2024,2017,38320952.34706792,36367137.91548898,1953814.4315789416,314979319.47348064,0.006202992738840561
Seismic vessel,2024,2017,2469197.2415885497,2015746.6298642196,453450.6117243301,314979319.47348064,0.0014396202661251477
Passenger,2025,2017,268857697.38408947,129039901.68398152,139817795.70010793,365194097.989039,0.3828588590834906
Cargo: container,2025,2017,186915291.1132824,144657563.11947054,42257727.993811876,365194097.989039,0.11571306389261583
Tanker: oil,2025,2017,179115998.25300327,139620367.924315,39495630.328688264,365194097.989039,0.10814969504209701
Fishing,2025,2017,67117600.2005716,28835407.77740915,38282192.423162445,365194097.989039,0.10482697457041448
Cargo: bulk carrier,2025,2017,155827618.85201618,125021071.98603337,30806546.865982816,365194097.989039,0.08435663948464865
Tanker: liquefied gas,2025,2017,70418533.62024452,45181191.1497739,25237342.470470615,365194097.989039,0.0691066548157306
Tanker: chemical,2025,2017,72973721.10228948,57188787.39932359,15784933.702965893,365194097.989039,0.043223408565161596
Other,2025,2017,35150278.896478906,24282583.367328975,10867695.52914993,365194097.989039,0.029758683365896335
Cargo: general,2025,2017,89617662.02237529,79665998.50862876,9951663.51374653,365194097.989039,0.02725034048618502
Tug,2025,2017,19118142.217648964,12342897.34818004,6775244.869468924,365194097.989039,0.018552448976522827
Cargo: ro ro,2025,2017,41832971.940416336,36367137.91548898,5465834.024927355,365194097.989039,0.014966928696343302
Seismic vessel,2025,2017,2467237.1964206276,2015746.6298642196,451490.56655640807,365194097.989039,0.0012363030208937253
