port_country_iso3,vessel_class,year,emissions_co2_mt,n_unique_port_vists
DNK,other_seines,2017,841.1359474380075,99
ESP,trollers,2020,82.34360437344756,125
NOR,other_purse_seines,2021,5698.210937522622,109
NOR,other_purse_seines,2019,9810.565771945367,158
BEL,other_seines,2021,302.51114714272137,18
ISL,other_seines,2021,5843.828357995079,756
GBR,driftnets,2018,10.06636627512302,39
JPN,driftnets,2019,212.25502752388562,33
BRA,trollers,2023,10.358238586187428,15
USA,fish_factory,2022,2616.8099322188664,52
ESP,fish_factory,2018,1085.2428858724927,37
MAF,trollers,2022,27.398077648521554,36
MEX,trollers,2022,12.1717859709752,6
JPN,trollers,2023,293.78945589303686,33
CHN,trollers,2019,11.880818602574937,26
MRT,fish_factory,2017,380.6242719258544,32
MLT,other_seines,2020,29.609489222064227,2
ISL,fish_factory,2020,50.56719012262831,10
ATA,fish_factory,2019,50.16082585021802,7
DNK,other_purse_seines,2024,140.81085508129812,4
DEU,other_seines,2022,125.07765808614712,4
CAN,fish_factory,2020,5.8086289374987885,5
ISL,fish_factory,2023,76.27804583121245,17
RUS,other_seines,2018,1.024018154700157,2
AUS,trollers,2022,0.2547055290837676,1
MNE,fish_factory,2024,177.35317401357133,5
DNK,other_purse_seines,2017,231.92563747847623,11
GIN,fish_factory,2022,58.74279187068567,3
URY,other_seines,2022,9.378404462532147,1
NLD,other_seines,2017,0.8050131322935827,1
KOR,fish_factory,2022,341.20550336080873,11
NZL,trollers,2019,8.283080357061571,14
CAN,fish_factory,2024,0.4722521488657478,3
BRA,trollers,2024,13.201464289765248,14
DEU,other_seines,2024,84.88998878947955,7
GBR,other_purse_seines,2023,97.79733447843738,7
ISL,other_purse_seines,2018,371.3068539597373,9
CHL,other_seines,2023,35.232681556266726,3
DNK,fish_factory,2018,86.98709915372652,4
ISL,other_purse_seines,2017,46.77050030380414,2
JPN,fish_factory,2021,180.21624141662792,7
SGS,fish_factory,2024,27.597895617593146,5
DNK,other_purse_seines,2021,3818.3306628589035,3
NLD,other_seines,2019,0.4486118753593533,2
IRL,other_purse_seines,2024,24.419805692275684,1
DNK,fish_factory,2019,492.5642547007772,60
URY,fish_factory,2020,211.33467439003655,3
EGY,other_seines,2022,1.9046822410863569,1
OMN,fish_factory,2024,268.2032743804547,5
IRL,other_seines,2018,0.13470641804402714,2
ESP,other_purse_seines,2023,1203.9849555771539,2277
ATA,fish_factory,2022,27.380865760244873,3
GIB,other_purse_seines,2024,0.4591872719372159,1
CAN,trollers,2017,2783.7737664475885,761
NOR,trollers,2019,318.807564975619,74
KOR,reefer,2024,4.52260541557244,1
ISL,other_seines,2018,8161.891741395669,960
GRC,fish_factory,2024,36.11540155775877,4
GIB,other_purse_seines,2021,0.24776410731209264,1
BEL,other_seines,2023,738.7436681042021,41
FRA,other_seines,2021,2172.449212043758,118
KOR,fish_factory,2021,746.0571152314145,13
FRA,trollers,2020,49.78724534284591,83
ESH,fish_factory,2018,134.08889727278077,7
SWE,trollers,2021,156.45895607226865,69
MEX,trollers,2019,31.689411060676232,56
IRL,other_purse_seines,2022,43.07182154855941,1
NOR,other_purse_seines,2024,7022.071683074278,128
DNK,trollers,2023,186.69811605102817,162
ISL,other_seines,2022,4750.616265655987,581
PRT,other_seines,2023,6.165047301922996,1
PYF,trollers,2019,1.7246602212317428,1
ATA,fish_factory,2017,10.131041621321202,2
DNK,other_seines,2020,439.1692378813881,195
RUS,other_seines,2022,287.85260224945966,47
AUS,trollers,2021,6.801371290934974,6
HRV,fish_factory,2023,4.799328363536045,2
SXM,trollers,2022,5.5018051468366815,1
DNK,other_purse_seines,2022,692.9528516796183,3
NOR,other_seines,2024,63386.27242305104,8217
NOR,other_seines,2018,53298.04762726049,8601
USA,trollers,2017,10874.319632961984,1636
ESP,trollers,2017,73.97380164330124,88
CHN,bunker_or_tanker,2017,1673.1377856302188,149
FRA,other_seines,2023,2419.359912487615,113
FRA,trollers,2019,84.94778150631043,124
NOR,trollers,2018,234.5986298980207,52
MAR,fish_factory,2018,3.2559047906796508,1
FRA,trollers,2017,51.26456002127934,102
RUS,fish_factory,2020,4751.781257461094,104
GBR,driftnets,2019,16.35809717340874,51
IRL,other_purse_seines,2017,23.28460483333523,1
BHS,trollers,2019,3.9556153214863143,3
NOR,fish_factory,2024,245.8063366855217,59
MRT,fish_factory,2020,729.42565753635,27
MRT,fish_factory,2018,463.0983697547815,34
RUS,fish_factory,2018,3963.248868650482,98
