year,emissions_co2_mt,data_source
2017,638065539.0219734,"GFW (AIS, maritime transport excl. passenger)"
2018,654022778.9917238,"GFW (AIS, maritime transport excl. passenger)"
2019,656841708.3660626,"GFW (AIS, maritime transport excl. passenger)"
2020,658940368.6395156,"GFW (AIS, maritime transport excl. passenger)"
2021,693029927.747304,"GFW (AIS, maritime transport excl. passenger)"
2022,713720302.2975689,"GFW (AIS, maritime transport excl. passenger)"
2023,741704956.9190865,"GFW (AIS, maritime transport excl. passenger)"
2024,784888248.0758117,"GFW (AIS, maritime transport excl. passenger)"
2025,805629311.6632937,"GFW (AIS, maritime transport excl. passenger)"
2017,767105440.7059549,"GFW (AIS, maritime transport)"
2018,799663907.4620194,"GFW (AIS, maritime transport)"
2019,819282348.8565341,"GFW (AIS, maritime transport)"
2020,813182493.7403724,"GFW (AIS, maritime transport)"
2021,871331453.0810027,"GFW (AIS, maritime transport)"
2022,921887072.5163572,"GFW (AIS, maritime transport)"
2023,955170777.8651038,"GFW (AIS, maritime transport)"
2024,1029612146.8109962,"GFW (AIS, maritime transport)"
2025,1074487009.0473833,"GFW (AIS, maritime transport)"
