time,fishing,inside_footprint,s1_imaged,emissions_co2_mt,emissions_co2_dark_mt
2020-02-01,TRUE,TRUE,TRUE,1771315.6001248686,1392629.8889199998
2022-02-01,TRUE,TRUE,TRUE,2174460.090674742,1883605.1896
2023-01-01,TRUE,TRUE,TRUE,3121778.9597064587,1783045.7594799998
2018-07-01,TRUE,TRUE,TRUE,1785229.4521342684,1849997.6988499998
2023-07-01,FALSE,TRUE,TRUE,71074126.46479398,22927823.934490006
2023-06-01,FALSE,TRUE,TRUE,67907725.46549174,22996142.847669996
2025-06-01,FALSE,TRUE,TRUE,73310379.17893647,23914552.008260004
2020-04-01,FALSE,TRUE,TRUE,52383247.11761209,22190908.902699992
2017-07-01,FALSE,TRUE,TRUE,56733858.731307745,22584537.287010007
2022-09-01,TRUE,FALSE,FALSE,567066.0445784894,1571.3285
2017-11-01,TRUE,TRUE,TRUE,2281888.6204197006,2293968.14991
2021-03-01,TRUE,TRUE,FALSE,85211.16416248375,66218.65833
2020-08-01,FALSE,TRUE,TRUE,61470620.65553521,23096017.945329994
2023-03-01,FALSE,TRUE,TRUE,61865240.869417906,21710067.772639997
2017-06-01,FALSE,TRUE,TRUE,53200039.4313205,22716039.72826
2025-02-01,FALSE,TRUE,TRUE,59848574.38102802,21478021.639340006
2025-01-01,FALSE,TRUE,TRUE,65798233.37225707,21529326.213400003
2020-10-01,FALSE,TRUE,TRUE,58556931.73563776,23026686.71632
2021-03-01,FALSE,TRUE,TRUE,57168928.56995067,22236170.321650006
2022-04-01,FALSE,TRUE,TRUE,59135028.97371398,23314324.085599992
2024-01-01,FALSE,TRUE,TRUE,62885463.9156177,21520411.03906
2024-02-01,FALSE,TRUE,TRUE,57640313.68946622,21890724.14799
2017-10-01,TRUE,FALSE,FALSE,462835.8424456083,2299.39112
2023-08-01,TRUE,FALSE,FALSE,587344.002576574,3221.48731
2023-11-01,TRUE,TRUE,TRUE,4537395.920395678,2443535.3708
2019-06-01,TRUE,TRUE,FALSE,36289.002838614404,46698.93048
2024-02-01,TRUE,TRUE,FALSE,382607.8927373805,428026.73390000005
2024-01-01,TRUE,TRUE,FALSE,755256.6767014985,569189.3131
2023-06-01,TRUE,TRUE,FALSE,190510.0532520647,366087.6098900001
2017-12-01,FALSE,TRUE,TRUE,50993216.35608192,21555429.510440003
2022-08-01,TRUE,TRUE,TRUE,3073625.0697884304,2825653.42384
2020-10-01,TRUE,TRUE,FALSE,36424.22972271114,30232.839120000004
2023-12-01,TRUE,TRUE,TRUE,4237149.150358205,2466246.280010001
2024-11-01,FALSE,TRUE,TRUE,66092716.47066391,22417796.548419997
2023-03-01,TRUE,TRUE,FALSE,766292.0138241022,631744.81372
2024-11-01,TRUE,TRUE,FALSE,660203.2253567474,608267.2403300001
