year,fishing,length_size_class_percentile,number_ais_detections,number_dark_detections,emissions_co2_dark_mt,ratio_inferred
2022,TRUE,5,37993,45383,1064611.877350094,FALSE
2016,TRUE,7,42479,57593,1233105.3656467702,FALSE
2016,FALSE,3,6013,9633,2341175.444893283,FALSE
2023,TRUE,2,NA,NA,24107.559017478095,TRUE
2023,FALSE,1,5536,17665,3527215.605052687,FALSE
2017,FALSE,1,1445,6514,2161286.750184783,FALSE
2022,TRUE,2,NA,NA,18958.122828042287,TRUE
2018,TRUE,1,494,207,47.5067397548718,FALSE
2020,TRUE,1,NA,NA,117.5664939957811,TRUE
2023,FALSE,7,NA,NA,603297.5885473714,TRUE
2022,FALSE,9,NA,NA,2232156.2521626027,TRUE
2017,FALSE,5,NA,NA,794960.6815093055,TRUE
2024,FALSE,4,41763,16846,2522227.9721529773,FALSE
2018,FALSE,3,NA,NA,16589836.99932983,TRUE
2020,FALSE,10,493600,39796,34064272.146839164,FALSE
2022,FALSE,7,94958,18288,2481144.9945656154,FALSE
2017,FALSE,9,368591,40899,14215535.590132546,FALSE
2023,TRUE,9,NA,NA,1653489.1080308864,TRUE
2022,TRUE,6,NA,NA,656175.0038947924,TRUE
2019,TRUE,3,NA,NA,97522.40684637033,TRUE
2017,TRUE,4,NA,NA,196257.8670826674,TRUE
2024,TRUE,6,NA,NA,669507.0966592483,TRUE
2021,TRUE,3,43171,36291,465318.85417299595,FALSE
2018,TRUE,4,49384,53588,801786.2245103228,FALSE
2021,TRUE,7,NA,NA,308465.0336823606,TRUE
2018,TRUE,7,NA,NA,368846.47808729217,TRUE
2022,FALSE,3,26252,22800,3390317.6091178586,FALSE
2024,FALSE,1,3329,11406,1955619.5827445646,FALSE
2016,TRUE,4,NA,NA,271021.196585737,TRUE
2023,TRUE,1,216,89,85.1133405952624,FALSE
2016,TRUE,1,NA,NA,75.45672171853894,TRUE
2018,FALSE,7,NA,NA,696498.5489566317,TRUE
2021,FALSE,8,NA,NA,1121302.8052888236,TRUE
2023,FALSE,9,NA,NA,1988000.641637292,TRUE
2017,FALSE,9,NA,NA,4856559.9499956155,TRUE
2022,TRUE,10,NA,NA,4993165.017216177,TRUE
2024,FALSE,1,NA,NA,81665818.1249405,TRUE
2019,FALSE,5,NA,NA,730118.3745589778,TRUE
2020,FALSE,4,NA,NA,1772945.500077651,TRUE
2016,FALSE,10,NA,NA,46220627.9524288,TRUE
2016,FALSE,1,NA,NA,29456700.678846486,TRUE
2022,FALSE,3,NA,NA,8610624.427532928,TRUE
2020,FALSE,4,56378,33266,3255229.2930442085,FALSE
2021,FALSE,9,400357,29160,9142113.397719428,FALSE
2023,TRUE,10,167647,53711,5872395.07058759,FALSE
2020,TRUE,8,NA,NA,463167.0943964567,TRUE
