fishing,length_size_bin,month,n_s1_detections,n_s1_detections_unmatched,length_bin_min,length_bin_max
FALSE,2,2017-06-01T00:00:00Z,8527,5662,25,50
FALSE,3,2017-06-01T00:00:00Z,18544,7177,50,75
FALSE,4,2017-06-01T00:00:00Z,24815,6808,75,100
FALSE,5,2017-06-01T00:00:00Z,20029,4823,100,125
FALSE,6,2017-06-01T00:00:00Z,18250,3952,125,150
FALSE,7,2017-06-01T00:00:00Z,14938,2735,150,175
FALSE,8,2017-06-01T00:00:00Z,15201,2506,175,200
FALSE,9,2017-06-01T00:00:00Z,8704,1389,200,225
FALSE,10,2017-06-01T00:00:00Z,14791,2509,225,Inf
TRUE,1,2017-06-01T00:00:00Z,117544,89135,0,25
TRUE,2,2017-06-01T00:00:00Z,51095,27309,25,50
TRUE,3,2017-06-01T00:00:00Z,9749,2980,50,75
TRUE,4,2017-06-01T00:00:00Z,2413,574,75,100
TRUE,5,2017-06-01T00:00:00Z,369,105,100,Inf
FALSE,1,2017-07-01T00:00:00Z,4225,3846,0,25
FALSE,2,2017-07-01T00:00:00Z,8912,5745,25,50
FALSE,3,2017-07-01T00:00:00Z,18139,6714,50,75
FALSE,4,2017-07-01T00:00:00Z,24447,6636,75,100
FALSE,5,2017-07-01T00:00:00Z,20527,4942,100,125
FALSE,6,2017-07-01T00:00:00Z,18610,4073,125,150
FALSE,7,2017-07-01T00:00:00Z,15245,2748,150,175
FALSE,8,2017-07-01T00:00:00Z,15359,2585,175,200
FALSE,9,2017-07-01T00:00:00Z,8462,1330,200,225
FALSE,10,2017-07-01T00:00:00Z,15001,2526,225,Inf
TRUE,1,2017-07-01T00:00:00Z,122588,90204,0,25
TRUE,2,2017-07-01T00:00:00Z,52764,28396,25,50
TRUE,3,2017-07-01T00:00:00Z,9254,2737,50,75
TRUE,4,2017-07-01T00:00:00Z,2537,610,75,100
TRUE,5,2017-07-01T00:00:00Z,468,142,100,Inf
FALSE,1,2017-08-01T00:00:00Z,5083,4712,0,25
FALSE,2,2017-08-01T00:00:00Z,10056,6681,25,50
FALSE,3,2017-08-01T00:00:00Z,19437,7625,50,75
FALSE,4,2017-08-01T00:00:00Z,25567,7295,75,100
FALSE,5,2017-08-01T00:00:00Z,20790,5149,100,125
FALSE,6,2017-08-01T00:00:00Z,18849,4154,125,150
FALSE,7,2017-08-01T00:00:00Z,15805,2877,150,175
FALSE,8,2017-08-01T00:00:00Z,15816,2614,175,200
FALSE,9,2017-08-01T00:00:00Z,8949,1460,200,225
FALSE,10,2017-08-01T00:00:00Z,15258,2700,225,Inf
TRUE,1,2017-08-01T00:00:00Z,145991,107162,0,25
TRUE,2,2017-08-01T00:00:00Z,63039,34663,25,50
TRUE,3,2017-08-01T00:00:00Z,9661,3048,50,75
TRUE,4,2017-08-01T00:00:00Z,2438,536,75,100
TRUE,5,2017-08-01T00:00:00Z,489,126,100,Inf
FALSE,1,2017-09-01T00:00:00Z,5450,5085,0,25
FALSE,2,2017-09-01T00:00:00Z,10077,6937,25,50
FALSE,3,2017-09-01T00:00:00Z,19373,7571,50,75
FALSE,4,2017-09-01T00:00:00Z,25315,7248,75,100
FALSE,5,2017-09-01T00:00:00Z,20474,5048,100,125
FALSE,6,2017-09-01T00:00:00Z,18116,3929,125,150
FALSE,7,2017-09-01T00:00:00Z,15351,2754,150,175
FALSE,8,2017-09-01T00:00:00Z,15348,2595,175,200
FALSE,9,2017-09-01T00:00:00Z,8649,1385,200,225
FALSE,10,2017-09-01T00:00:00Z,14664,2508,225,Inf
TRUE,1,2017-09-01T00:00:00Z,157266,115066,0,25
TRUE,2,2017-09-01T00:00:00Z,69222,38496,25,50
TRUE,3,2017-09-01T00:00:00Z,10415,3253,50,75
TRUE,4,2017-09-01T00:00:00Z,2560,560,75,100
TRUE,5,2017-09-01T00:00:00Z,463,127,100,Inf
FALSE,1,2017-10-01T00:00:00Z,5623,5308,0,25
FALSE,2,2017-10-01T00:00:00Z,10020,6882,25,50
FALSE,3,2017-10-01T00:00:00Z,20190,7803,50,75
FALSE,4,2017-10-01T00:00:00Z,25748,7362,75,100
FALSE,5,2017-10-01T00:00:00Z,20023,5149,100,125
FALSE,6,2017-10-01T00:00:00Z,17993,3988,125,150
FALSE,7,2017-10-01T00:00:00Z,15564,2880,150,175
FALSE,8,2017-10-01T00:00:00Z,15573,2620,175,200
FALSE,9,2017-10-01T00:00:00Z,8804,1519,200,225
FALSE,10,2017-10-01T00:00:00Z,15336,2729,225,Inf
TRUE,1,2017-10-01T00:00:00Z,144265,108583,0,25
TRUE,2,2017-10-01T00:00:00Z,64033,35528,25,50
TRUE,3,2017-10-01T00:00:00Z,10729,3156,50,75
TRUE,4,2017-10-01T00:00:00Z,2480,493,75,100
TRUE,5,2017-10-01T00:00:00Z,369,107,100,Inf
FALSE,1,2017-11-01T00:00:00Z,5825,5473,0,25
FALSE,2,2017-11-01T00:00:00Z,10094,7060,25,50
FALSE,3,2017-11-01T00:00:00Z,20227,8281,50,75
FALSE,4,2017-11-01T00:00:00Z,25640,7735,75,100
FALSE,5,2017-11-01T00:00:00Z,20170,5429,100,125
FALSE,6,2017-11-01T00:00:00Z,17980,4213,125,150
FALSE,7,2017-11-01T00:00:00Z,15877,3090,150,175
FALSE,8,2017-11-01T00:00:00Z,15657,2764,175,200
FALSE,9,2017-11-01T00:00:00Z,8771,1466,200,225
FALSE,10,2017-11-01T00:00:00Z,14975,2783,225,Inf
TRUE,1,2017-11-01T00:00:00Z,133561,102269,0,25
TRUE,2,2017-11-01T00:00:00Z,64752,37488,25,50
TRUE,3,2017-11-01T00:00:00Z,10720,3341,50,75
TRUE,4,2017-11-01T00:00:00Z,2043,466,75,100
TRUE,5,2017-11-01T00:00:00Z,276,61,100,Inf
FALSE,1,2017-12-01T00:00:00Z,5555,5254,0,25
FALSE,2,2017-12-01T00:00:00Z,9371,6571,25,50
FALSE,3,2017-12-01T00:00:00Z,19563,7962,50,75
FALSE,4,2017-12-01T00:00:00Z,24488,7370,75,100
FALSE,5,2017-12-01T00:00:00Z,19065,5158,100,125
FALSE,6,2017-12-01T00:00:00Z,16889,3905,125,150
FALSE,7,2017-12-01T00:00:00Z,14985,2921,150,175
FALSE,8,2017-12-01T00:00:00Z,15018,2785,175,200
FALSE,9,2017-12-01T00:00:00Z,8578,1600,200,225
FALSE,10,2017-12-01T00:00:00Z,14747,2709,225,Inf
