year,flag,receiver_type,emissions_co2_mt,n_distinct_ssvid
2018,BGR,terrestrial,252759.76790837888,335
2023,ISR,dynamic,161114.8425415874,339
2019,VCT,satellite,641076.0860576459,746
2019,HUN,satellite,1300.0930342418935,10
2021,HND,dynamic,3207.365104997979,24
2019,BMU,satellite,5490380.377616655,268
2017,DJI,satellite,12006.466575490733,25
2019,PHL,satellite,1498094.0865132066,786
2022,SVN,terrestrial,40098.4588818214,143
2023,TZA,dynamic,595457.1940094259,425
2022,MMR,dynamic,29569.682590051696,352
2021,KNA,dynamic,35023.83825263849,199
2018,MNG,terrestrial,275556.88058922114,303
2022,NGA,dynamic,257982.84442988865,824
2023,POL,satellite,111961.85269773926,591
2024,PAK,dynamic,222990.79174834877,262
2019,MYS,terrestrial,2161855.5223655244,2523
2023,VEN,dynamic,266066.0499723948,1365
2016,VNM,terrestrial,391513.7283753379,628
2021,NIU,terrestrial,69039.05200842518,128
2020,VGB,satellite,72576.67588330369,313
2023,ISR,satellite,78425.19146003798,93
2016,ARE,terrestrial,752733.3127525821,531
2023,PER,satellite,416564.48257288546,340
2018,ARG,terrestrial,368457.9785781732,663
2016,VGB,terrestrial,481026.9774961784,440
2016,CHL,terrestrial,427521.444714832,444
2021,ARG,terrestrial,454139.68472485384,795
2024,MUS,satellite,123239.62304655202,204
2016,ARG,terrestrial,363713.3267149835,548
2021,ALB,dynamic,2839.8339385277263,133
2022,TON,dynamic,2638.854328788345,13
2020,VEN,satellite,208809.01493670017,395
2022,REU,satellite,19368.532286751546,80
2021,ATF,terrestrial,8695.268364426398,65
2021,ISR,satellite,160389.6531962536,70
2021,FJI,terrestrial,3848.5513738364157,81
2024,MDG,terrestrial,4504.396013526636,37
2021,BTN,dynamic,2563.7657195503843,46
2018,EST,satellite,69188.10465930456,143
2017,ROU,terrestrial,216374.07907880412,297
2018,JAM,terrestrial,454624.19095783494,211
2020,CYP,terrestrial,6133361.229845966,1315
2021,BLZ,dynamic,61818.127138055344,471
2016,LBN,satellite,64705.04736921264,34
2018,JAM,satellite,83085.00119496467,166
2023,ROU,satellite,18118.572032333366,178
2018,PRT,terrestrial,4181488.755341829,1388
2021,SVK,terrestrial,55382.74187512519,95
2016,UKR,terrestrial,392349.64390690334,404
2021,UKR,dynamic,7668.934178138823,262
2016,HRV,satellite,220601.3470319906,257
2021,KIR,satellite,80829.46687195604,67
2019,SAU,satellite,1335489.1157714399,562
2016,ISR,terrestrial,207693.8130457479,149
2022,KNA,dynamic,513031.632598329,366
2016,SOM,satellite,1561.2019000465941,6
2019,MAR,satellite,184210.43831974588,136
2021,CPV,dynamic,587.1661607430916,24
2023,SLE,dynamic,440382.84499414585,543
2020,COL,satellite,103693.62159070725,247
2022,NAM,dynamic,24276.630232686148,136
2024,NCL,terrestrial,16870.26458341099,268
2021,CYM,satellite,2057968.3450396701,1225
2019,HRV,satellite,186070.40074536673,356
2017,IRQ,terrestrial,20839.29155576481,43
2021,ISL,dynamic,2566.9817693047153,487
2023,LUX,satellite,308936.7241944345,213
2021,LTU,terrestrial,339918.90393027646,166
2021,SLE,terrestrial,425577.7454067214,433
2018,BMU,terrestrial,2408066.27177757,339
2020,SLE,terrestrial,370260.92477189,430
2020,ETH,satellite,44318.26802687387,12
2024,SMR,terrestrial,145269.41376901412,232
2019,ATF,terrestrial,14614.207933826672,45
2020,KWT,terrestrial,491404.64148377447,121
2019,PRK,satellite,1283.3747675359161,59
2019,FSM,satellite,140340.09162664125,55
2024,DMA,satellite,60464.6186343102,143
2018,SLE,terrestrial,424443.8761231287,410
2020,JAM,terrestrial,538577.570799653,253
2022,COL,terrestrial,185736.40108667818,367
2016,POL,satellite,35911.010018217836,152
2017,ARE,satellite,143321.78413190006,499
2024,PRY,satellite,109454.41878243447,108
2020,LUX,satellite,347677.49229721376,176
2017,LAO,satellite,12.78728004145037,1
2023,SLB,terrestrial,125.62077374566623,13
2021,HRV,dynamic,20668.128081546525,380
2023,FRO,terrestrial,201382.56840874464,484
2019,ARM,terrestrial,485.4639174696171,11
2016,COM,terrestrial,245963.37282490035,209
2020,SOM,terrestrial,6615.07445532728,96
2020,OMN,satellite,57360.23655286986,66
2017,MTQ,satellite,4411.243786098124,88
2016,COL,satellite,88746.85347963379,173
2023,COL,satellite,133036.93063110008,380
2022,DJI,satellite,14915.523336801067,23
2023,ARG,satellite,1040173.9941479138,878
2017,ZAF,satellite,321822.0278633781,539
2022,LBN,terrestrial,52226.14445046435,51
2017,GEO,satellite,2113.507227302566,24
2018,URY,satellite,142882.347534245,236
2024,VUT,terrestrial,200356.5526316538,412
2019,JOR,terrestrial,88951.25901553589,60
2018,MMR,satellite,15801.491473153192,26
2021,MNG,dynamic,17263.789475722904,188
2023,QAT,satellite,27402.55759785458,285
2021,FIN,satellite,101420.54816282372,611
2023,AUT,terrestrial,176133.13442567523,738
2023,EST,dynamic,224989.44110527408,493
2023,JEY,satellite,3340.417895527591,13
2017,PHL,satellite,1102137.4007163048,633
2018,KIR,satellite,108671.03187189475,98
2019,LBY,terrestrial,183807.12339515635,54
2024,NIS,satellite,44659.38269488841,20
2017,DMA,satellite,91005.37860495372,130
2020,MAR,satellite,190367.1111158935,159
2017,CHE,satellite,358786.1018508751,237
2016,BMU,satellite,4976225.9885725565,231
2019,UKR,satellite,21762.058826869204,196
2024,SRB,terrestrial,16271.996073914817,181
2021,SVK,dynamic,699.9949922468179,31
2018,KAZ,satellite,2442.736744770686,12
2024,SVK,satellite,22613.438498498388,164
2022,KNA,satellite,126906.00323456548,316
2021,AUT,dynamic,877.7014791603509,45
2023,BGD,dynamic,711357.6613519423,197
2016,TZA,terrestrial,355308.5687651428,236
2019,SOM,satellite,4326.8714284099515,19
2024,SVN,dynamic,16739.874190590745,200
2018,GNB,satellite,35037.52318064085,20
2019,GLP,satellite,9604.696066572229,99
2018,GLP,satellite,5813.169184134167,65
2022,VUT,satellite,356344.2414598763,422
2024,NCL,dynamic,111381.82316664529,378
2018,COK,terrestrial,620826.4284561482,456
2020,KWT,satellite,723252.7736766312,90
2017,VEN,satellite,237445.31099561646,244
2022,URY,satellite,120799.84408922,214
2016,SYC,satellite,42435.4002173105,70
2019,MNG,satellite,90854.19795865689,220
2019,TUN,satellite,34268.089230461985,63
2021,IMN,dynamic,108642.0589574014,211
2020,KHM,terrestrial,18559.090501659313,91
2020,BTN,terrestrial,12848.265060053282,97
2022,KHM,terrestrial,18059.796075902796,103
2023,COM,unknown,2.661178598127711,32
2022,BLR,terrestrial,665.1306158479284,15
2020,MTQ,terrestrial,73870.73938301214,153
2022,PNG,terrestrial,68796.83542303475,125
2022,MTQ,terrestrial,109491.69217244232,189
2022,MNG,dynamic,219575.52976224903,389
2021,CHL,dynamic,12485.304022355129,461
2020,NIS,terrestrial,85421.36073773986,14
2022,BRB,satellite,417971.57247161045,304
2023,GIB,dynamic,522498.69843164395,429
2024,ERI,dynamic,4539.347401408668,15
2020,EGY,satellite,95093.93537648761,146
2023,SHN,terrestrial,14338.273543377256,117
2021,PAK,satellite,80270.24948748102,86
2017,PLW,satellite,143418.54557992192,242
2020,PNG,satellite,150683.9542883171,117
2024,DOM,dynamic,17152.96135866425,49
2018,AUT,satellite,8510.995358048762,81
2022,DZA,terrestrial,146064.04810204252,126
2017,LBN,satellite,75189.0561055796,34
2024,STP,terrestrial,35848.589570145654,107
2019,PER,satellite,282531.6780471304,241
2020,NAM,terrestrial,57399.690775055584,126
2022,ROU,satellite,5166.484709196441,185
2024,HTI,dynamic,3012.966615359169,31
2023,SMR,unknown,0.4249079880629524,4
2016,NRU,terrestrial,1442.7780441815382,11
2022,CRI,terrestrial,1315.5934054367756,19
2021,COL,satellite,115837.66835221904,297
2022,FRO,terrestrial,565525.408999066,526
2023,BTN,dynamic,16742.589409945875,94
2021,WSM,satellite,39226.32132836693,11
2020,IRQ,terrestrial,12651.097412664032,60
2020,CXR,terrestrial,1095.0725077543254,13
2023,PSE,dynamic,5634.486762945141,19
2017,TON,satellite,18178.20230731534,7
2017,TGO,satellite,138232.394718609,351
2023,GTM,dynamic,5871.918126666078,21
2021,MDA,satellite,71027.06167295418,115
2021,SLB,satellite,18326.32585571861,14
2021,DMA,terrestrial,263889.0167764141,168
2024,BES,dynamic,83710.15696744467,130
2021,URY,dynamic,4854.387712274626,159
2016,CHE,satellite,390781.3676435974,182
2016,NCL,satellite,24194.810761935154,63
2022,EST,satellite,60005.53855935634,157
2016,DJI,terrestrial,12236.79921717344,31
2022,LBN,satellite,40483.00052363802,31
2021,PCN,terrestrial,4890.302842642859,42
2016,SEN,satellite,24771.577247354624,28
2023,PNG,terrestrial,3425.2198642364565,51
2023,IRL,unknown,0.7393915088249374,10
2022,GAB,terrestrial,121870.97312533038,109
2016,BES,terrestrial,99401.21491382837,63
2022,OMN,terrestrial,7004.2811425051,99
2023,PRT,unknown,41.023200969673994,104
2017,LBY,terrestrial,234810.08782050406,45
2022,BRN,terrestrial,48190.08201663823,53
2024,FJI,dynamic,6075.310525613475,90
2017,MMR,satellite,11541.241264061213,25
2018,HUN,terrestrial,27145.74190633198,65
2023,PSE,terrestrial,304.1031032643976,15
2023,MAR,terrestrial,99311.61517956342,228
2021,PNG,terrestrial,66718.92592056215,112
2024,AIA,dynamic,2975.352776343332,24
2019,MNE,terrestrial,34461.59244404599,67
2024,FJI,satellite,91321.12297696652,96
2018,SWE,satellite,450330.70684055256,1374
2016,ATF,satellite,53603.373055672004,50
2020,CRI,terrestrial,2126.0995115992355,23
2023,ARM,dynamic,216.43924341006112,8
2016,COM,satellite,151281.94359053022,195
2024,NRU,dynamic,12143.676247791747,43
2024,BTN,satellite,600.303647299914,63
2019,OMN,terrestrial,35654.52569993848,66
2021,MTQ,satellite,17356.47050775024,133
2018,AGO,terrestrial,27785.697818437344,64
2019,LBN,satellite,54595.12749111613,38
2022,LBY,dynamic,164254.950703273,64
2021,MDV,satellite,10324.835201688345,31
2023,FSM,terrestrial,8033.333472160956,40
2022,NIS,dynamic,14509.188896170863,18
2017,SPM,satellite,1012.0042814383974,13
2024,FSM,terrestrial,7804.323547499005,48
