vessel_class,emissions_co2_mt
dredge_fishing,167305.68952977698
research,87670.49774230421
squid_jigger,2080630.6150593201
drifting_longlines,3293070.7380812573
cargo.ro_ro,41832971.94041464
set_gillnets,630227.368391537
seismic_vessel,2467237.1964206034
set_longlines,457896.9085916365
pots_and_traps,229350.95218045628
container_reefer,2751094.0796867986
trollers,40337.18540706075
patrol_vessel,2158612.747972524
specialized_reefer,3825616.3682423644
other_purse_seines,138975.60296264288
other_seines,58398.804576387614
other_not_fishing,2354982.2279201965
pole_and_line,360849.876559648
other_fishing,80875.40847269467
tanker.liquefied_gas,70418533.6202445
tug,19118142.217649005
tanker.chemical,72973721.1022877
tanker.oil,179115998.2529908
passenger,268857697.3840482
supply_vessel,7154271.054969818
cargo.general,89617662.02236836
cargo.bulk_carrier,155827618.85193604
dive_vessel,853406.0616646484
tuna_purse_seines,1353762.824934522
bunker,9971218.17527785
tanker.other,285844.27439206623
dredge_non_fishing,3431583.12063511
trawlers,49380062.659958944
cargo.container,186915291.11327913
cargo.refrigerated,2064960.0373451163
driftnets,8845855.565866362
well_boat,211020.25063087023
