month,n_s1_detections,n_s1_detections_unmatched,s1_scenes,s1_scene_area_km2
2024-03-01T00:00:00Z,219490,86265,6704,194962234.08138716
2024-04-01T00:00:00Z,210934,80611,6407,185548649.68172723
2024-05-01T00:00:00Z,196217,74976,6696,193011881.40849555
2024-06-01T00:00:00Z,185755,66584,6374,182618318.97121188
2024-07-01T00:00:00Z,196183,72496,6856,196646314.0654644
2024-08-01T00:00:00Z,235898,89875,7091,201975907.61466062
2024-09-01T00:00:00Z,239757,92165,7000,200449997.49401072
2024-10-01T00:00:00Z,252820,102649,7146,203505981.53878683
2024-11-01T00:00:00Z,224933,90897,6446,184510854.42338437
2024-12-01T00:00:00Z,211198,83600,6536,188702807.70038223
2025-01-01T00:00:00Z,206143,79559,6719,195450877.2629764
2025-02-01T00:00:00Z,186539,74619,5914,172052930.642015
2025-03-01T00:00:00Z,216804,86519,6514,188894349.2563813
2025-04-01T00:00:00Z,225681,89918,6604,191466581.28166294
2025-05-01T00:00:00Z,205596,78136,6690,192340585.38625866
2025-06-01T00:00:00Z,197174,74696,6492,187666262.76221165
2025-07-01T00:00:00Z,199849,73392,6777,194499758.62159896
2025-08-01T00:00:00Z,229045,89737,6909,196493203.00483948
2025-09-01T00:00:00Z,260075,107197,6838,194244350.15342665
2025-10-01T00:00:00Z,251199,108129,6831,187871841.49686453
2025-11-01T00:00:00Z,222757,93039,6224,173507779.70388636
2025-12-01T00:00:00Z,223392,93156,6431,181810792.6860318
