vessel_class,year,n_unique_vessels,n_pings,emissions_co2_mt,vessels_baseline,pings_baseline,emissions_baseline,baseline_year,vessels_change,pings_change,emissions_change
Cargo: bulk carrier,2017,13107,602567317,125021071.98603337,13107,602567317,125021071.98603337,2017,0,0,0
Cargo: bulk carrier,2018,13189,729858836,125825264.7715759,13107,602567317,125021071.98603337,2017,0.006256198977645511,0.21124862801013822,0.006432457927031399
Cargo: bulk carrier,2019,13688,778399093,124885173.743073,13107,602567317,125021071.98603337,2017,0.04432745860990317,0.291804369469312,-0.001087002701236961
Cargo: bulk carrier,2020,14206,1001782765,126975735.6371802,13107,602567317,125021071.98603337,2017,0.08384832532234676,0.6625242304670169,0.015634673580187997
Cargo: bulk carrier,2021,14899,1211805115,136551128.8117731,13107,602567317,125021071.98603337,2017,0.1367208361943999,1.0110701009029337,0.09222490771018022
Cargo: bulk carrier,2022,15523,1470367720,141090997.75570878,13107,602567317,125021071.98603337,2017,0.18432898451209279,1.4401717094788928,0.12853773779407884
Cargo: bulk carrier,2023,16040,2050297008,145509641.1847849,13107,602567317,125021071.98603337,2017,0.22377355611505312,2.4026024149597216,0.16388092721713665
Cargo: bulk carrier,2024,16806,2225919547,151508925.9413604,13107,602567317,125021071.98603337,2017,0.28221560997940043,2.694059541898453,0.21186711595534957
Cargo: bulk carrier,2025,17130,2534059226,155827618.85201618,13107,602567317,125021071.98603337,2017,0.30693522545204854,3.205437557775806,0.24641083600230473
Cargo: container,2017,5322,284607648,144657563.11947054,5322,284607648,144657563.11947054,2017,0,0,0
Cargo: container,2018,5315,323290784,149750984.1630339,5322,284607648,144657563.11947054,2017,-0.001315295001878991,0.13591741568378368,0.035210195262011856
Cargo: container,2019,5410,337830057,144658549.81711212,5322,284607648,144657563.11947054,2017,0.01653513716647881,0.18700273648303356,6.820919835170969e-6
Cargo: container,2020,5461,407627187,140142485.23138997,5322,284607648,144657563.11947054,2017,0.026118000751597092,0.4322425622237671,-0.03121217992834313
Cargo: container,2021,5803,505614691,154257739.15252152,5322,284607648,144657563.11947054,2017,0.09037955655768504,0.7765323404099105,0.06636484001270193
Cargo: container,2022,5931,653701633,158958093.6033738,5322,284607648,144657563.11947054,2017,0.11443066516347233,1.2968519559952232,0.09885781410608074
Cargo: container,2023,6338,954536716,158406584.5021816,5322,284607648,144657563.11947054,2017,0.19090567455843677,2.3538688180297953,0.0950452993000852
Cargo: container,2024,6855,1188147648,179761894.70052737,5322,284607648,144657563.11947054,2017,0.2880496054114994,3.174686296553774,0.2426719407132878
Cargo: container,2025,7220,1410090354,186915291.1132824,5322,284607648,144657563.11947054,2017,0.35663284479518986,3.9545061909228805,0.29212249316623584
Cargo: general,2017,50225,1169616397,79665998.50862876,50225,1169616397,79665998.50862876,2017,0,0,0
Cargo: general,2018,51326,1201338761,80297563.11279272,50225,1169616397,79665998.50862876,2017,0.021921353907416563,0.027122024008355172,0.007927655662227862
Cargo: general,2019,55639,1204783869,80879029.53006512,50225,1169616397,79665998.50862876,2017,0.10779492284718772,0.030067526490054952,0.01522645851611304
Cargo: general,2020,58276,1285993183,80295522.95715421,50225,1169616397,79665998.50862876,2017,0.16029865604778504,0.09949996109707415,0.007902046799266316
Cargo: general,2021,57288,1428657761,81170628.58580953,50225,1169616397,79665998.50862876,2017,0.1406271777003485,0.22147548945485585,0.018886728407951914
Cargo: general,2022,54607,1609111607,74700281.83846653,50225,1169616397,79665998.50862876,2017,0.08724738675958199,0.3757601305242304,-0.062331694362989576
Cargo: general,2023,55040,2097861554,81425668.68505669,50225,1169616397,79665998.50862876,2017,0.09586859133897452,0.7936321339038135,0.02208809541547807
Cargo: general,2024,55952,3024581358,85550848.94867006,50225,1169616397,79665998.50862876,2017,0.11402687904430064,1.5859601197092315,0.07386903509913201
Cargo: general,2025,55481,3748625431,89617662.02237529,50225,1169616397,79665998.50862876,2017,0.10464907914385257,2.205004171123979,0.12491732608697115
Cargo: ro ro,2017,2601,113858054,36367137.91548898,2601,113858054,36367137.91548898,2017,0,0,0
Cargo: ro ro,2018,2747,130985999,36533199.598138526,2601,113858054,36367137.91548898,2017,0.05613225682429834,0.15043244108141884,0.004566256575797789
Cargo: ro ro,2019,3009,142589426,36355769.803863585,2601,113858054,36367137.91548898,2017,0.15686274509803932,0.25234378237309407,-3.12592969284875e-4
Cargo: ro ro,2020,3089,165612969,32556099.37244508,2601,113858054,36367137.91548898,2017,0.18762014609765476,0.4545564690575161,-0.10479346909014675
Cargo: ro ro,2021,3215,210345693,36000253.73522929,2601,113858054,36367137.91548898,2017,0.2360630526720493,0.8474379774662231,-0.010088343523547705
Cargo: ro ro,2022,3514,262661391,37606474.9126204,2601,113858054,36367137.91548898,2017,0.35101883890811236,1.306919728313642,0.03407848591251339
Cargo: ro ro,2023,3732,350426030,37299449.32313865,2601,113858054,36367137.91548898,2017,0.43483275663206467,2.077744768060062,0.025636095142163695
