year,lon_bin,lat_bin,emissions_co2_total_mt,emissions_ch4_total_mt,emissions_n2o_total_mt,emissions_nox_total_mt,emissions_sox_total_mt,emissions_co_total_mt,emissions_vocs_total_mt,emissions_pm2_5_total_mt,emissions_pm10_total_mt
2017,-173,-79,11.552617515078296,1.8644674472383186e-4,5.731469471344584e-4,0.19305182693491343,0.07192815333790005,0.010068124215086918,0.009386689974723715,0.010370676229316866,0.011272474162300945
2017,176,-78,29.70083197152416,5.225392634461508e-4,0.0015058670030782665,0.5364248962734877,0.18501073693422107,0.02780394726991563,0.02659679598824178,0.027655550446901905,0.030060380920545547
2017,-175,-78,22.959206037310526,3.747776120964135e-4,0.0011342636217830677,0.4162228588794501,0.14297902948279023,0.020237991053206332,0.01943498117877729,0.020846165734910355,0.022658875798815602
2017,-179,-78,17.520493480930337,3.291205254129186e-4,8.948464492281808e-4,0.30331671318134296,0.10915206196209232,0.016809314086922163,0.016379099799446,0.016409787567762256,0.01783672561713289
2017,173,-78,32.60396340296396,5.472431958567112e-4,0.001640642747528783,0.5715173917802129,0.2031110900955537,0.02948277406130267,0.027829117427204234,0.029939315939615966,0.03254273471697388
2017,-180,-78,31.96894609978178,5.378371676343673e-4,0.0016177799591654532,0.5728521777587133,0.1992218680645211,0.028706009672741003,0.027285736032479302,0.029468192624989842,0.03203064415759766
2017,-42,-78,3.2694841700148465,8.065389627080764e-5,1.783527438428666e-4,0.06304896554845227,0.020368027390363922,0.0036398073271285817,0.004013780883471561,0.0033822012894103334,0.003676305749359058
2017,-178,-78,17.031513985955023,2.958291261880879e-4,8.737568990659982e-4,0.2792968673611691,0.10611843599525156,0.015753509923276333,0.014671603170482606,0.015796836074475937,0.01717047399399558
2017,-174,-78,8.478798294515455,1.3780071280073314e-4,4.174826036257292e-4,0.14899502254924113,0.05284658318414662,0.00742998959705655,0.007103738864598637,0.007651003057283216,0.008316307670960017
2017,-34,-77,24.991127622834192,4.552936186424416e-4,0.0012606755561583621,0.4534466824085407,0.15564130597668474,0.023411998534392645,0.023374750852456674,0.02338578347545169,0.025419329864621403
2017,-180,-77,7.418569853432417,1.1786816118571704e-4,3.5639374620765674e-4,0.1276781168302004,0.046169061894790975,0.006364803566200785,0.006114026094487289,0.00655205900265384,0.007121803263754174
2017,-164,-77,24.508831915671433,4.6558245180036446e-4,0.001253066603431878,0.5223395512287571,0.15281198099775448,0.02384483951570692,0.02399698852099032,0.023403734262313326,0.02543884158947101
2017,174,-77,25.71131085309188,5.53565360494211e-4,0.0013649048411223494,0.501084074014555,0.16028037149428026,0.025993160487868927,0.028959672948044923,0.026035408406423367,0.028299356963503663
2017,168,-77,70.60032435256622,0.0011903029963970546,0.003615251474386949,1.1475810308089294,0.43996325063164016,0.06114755372353206,0.06092924087203949,0.06386278278260879,0.0694160682419661
