year,fishing,length_size_class_percentile,hours,hours_dark,kw_hours,kw_hours_dark,emissions_co2_mt,emissions_co2_mt_dark,distance_nm,distance_nm_dark,average_speed_knots,average_speed_knots_dark,avg_speed_knots
2017,TRUE,4,7399130.37527778,4541306.94030714,1484745244.8298817,1062052196.9856269,284215.88146256824,214614.2320389073,6184016.340027314,4418201.477963246,0.8357761015658751,0.9728920630201736,4.036256864414005
2018,TRUE,1,492.49916666666667,593.8889184996892,325886.1681400556,334048.5047540709,94.0220684119824,96.4650812717158,1097.6125192212332,1016.5364346927429,2.228658632358904,1.7116608898188674,8.849714505387444
2020,TRUE,9,28545921.487195242,15463033.854792155,16478420413.311024,8936998600.733624,5910297.521709707,3244221.5601418233,53346083.773448855,32141906.66382772,1.8687812827264358,2.0786287455399064,5.957744697187001
2019,FALSE,5,65946054.02055557,18918794.561169732,107050535530.23106,32230211683.03751,19101557.79126684,5202300.240970164,125138810.51412898,35675410.82435558,1.8975936069673383,1.8857126815879859,8.3298612143639
2017,FALSE,7,54433807.156494886,13778102.846011689,160562191479.9933,38492721826.042755,23432446.955225565,5557237.323889904,149139690.09424892,35931884.95046909,2.739835736006461,2.6078978617052635,9.297967920210128
2021,TRUE,1,1299.3336111111112,1387.35346847103,584943.4097853331,466504.61854095175,151.4820917099768,119.73551395858226,785.127822429872,780.1618879164627,0.6042542236388994,0.5623382257271904,2.570627073659704
2017,FALSE,6,41928910.54166666,11661740.972160185,96092663238.34499,26539311760.370533,15855927.067399565,4165099.2853998654,99849046.62522866,29286697.156013496,2.381389006661743,2.5113486250405472,8.70863684935584
2019,FALSE,4,74972148.75305636,20253879.596806802,148034047946.02252,43350197857.16303,28379665.876093596,6839130.478311844,123619684.9751048,33465150.451415695,1.6488747759155726,1.6522834695181936,8.22046069979356
2018,FALSE,5,63875982.36888888,15662912.114138227,103427806851.84119,27434748586.519005,18517395.395505834,4603023.664508179,120937875.39779428,29962901.33520532,1.8933231382551337,1.9129840681516126,8.286686749239124
2021,FALSE,1,121259367.81572342,159523117.52199146,116251986092.9324,173937730234.72302,57043028.739558116,79115875.49819314,94788489.98938096,138637421.52610594,0.78170034774905,0.8690741735723271,5.694378887410659
2023,TRUE,7,41919809.48158415,28557339.83357008,17513486729.531925,12117731836.020931,4820670.315623277,2971619.8913104385,68349405.42530318,59810502.140879616,1.6304798678851309,2.0944003359364176,5.006219187717171
2016,TRUE,2,16487.546666666673,10324.508417376428,22302706.733739287,27513367.096897274,3855.361564175203,4723.3256066075555,8150.974413357076,4137.4181024214295,0.4943715749921803,0.40073753976102555,3.600028550377829
2021,TRUE,10,52981691.52723869,20889808.817907955,77002652443.77689,28596405149.92615,24246791.12225945,8681873.979610847,152038486.63603428,62205833.62166148,2.8696419886456246,2.9778077034546637,8.871011382704069
2024,TRUE,6,28497957.040833328,17973648.523660958,10977145310.309914,7225848029.400165,2555303.23603558,1548306.541965882,37649045.21146886,35705928.05731884,1.3211138313361686,1.986570951930804,4.632212417754434
2022,FALSE,4,80009875.84652251,16054440.513040464,158999150054.9896,33027737877.637047,29810994.13976078,5329901.934586737,114791466.74313958,24166127.263353072,1.4347162213241804,1.5052612542756483,8.033575064394201
2016,FALSE,10,131375222.45416664,17835440.5521371,2304426129550.149,309182989897.44934,460036038.9433678,60847708.87213715,990696833.0751998,130965814.56411006,7.540971688332082,7.343009788923735,13.091417017553994
2016,FALSE,5,50463417.981944464,17766387.401849054,85614235444.72621,32077243889.22778,15047924.771792468,5370991.707526679,98487082.76126252,35893171.55995094,1.9516530330248472,2.0202853145156188,8.089452219482224
2016,FALSE,9,55845334.85222225,10879350.149017652,450664385449.9878,87991603856.92105,97602852.53469697,18475515.32054154,319861698.5107926,63590129.194279574,5.727635072064832,5.845030109635862,12.714221061325668
2019,FALSE,3,158438315.64277774,75026214.24498385,323855366930.8987,163920112800.8193,47101531.41146762,21337648.450173505,175374042.11878997,87454285.32397659,1.1068916089350274,1.1656497159567618,6.895351540800508
2017,TRUE,5,12321597.444722224,7498358.078057167,3447331254.193914,2306116411.312319,779944.9460931597,519578.3718205018,13652835.192996256,9458649.636809263,1.108041003144787,1.2614294407316449,4.4776631436875025
2017,FALSE,8,64499881.32060393,14053361.69624343,236487285763.0754,51314963983.4118,46786366.17694818,9961483.917780126,236467956.19163647,51924570.13569671,3.666176609166858,3.694814896109629,10.897616381472938
2024,FALSE,2,145013525.39444444,58072003.92056887,214379855247.29266,87230679428.80302,62699530.00422378,23749666.759298593,101393002.70142488,45002946.644280314,0.6991968675034316,0.7749508128880059,6.196676920443841
2023,TRUE,5,20226158.877011936,12566906.936700424,6341368957.878156,4551193397.385548,1421124.0582086656,931126.5653851365,22712171.64072116,22752683.311239652,1.1229107700985532,1.8105237371331735,4.137681309300564
2022,FALSE,9,67787268.53732194,3922642.9773247284,542841430264.02954,31260145862.306873,106922406.82896222,5800348.9380366,354671847.65862155,19878719.673020724,5.232130683409205,5.067685177552956,12.512185933201442
2018,TRUE,9,23903923.107777774,13773887.52924316,14146860138.936636,8246655900.579148,5210219.4587162305,3110830.920475159,48544553.16293282,30238386.973035447,2.0308194995463973,2.1953415046287206,6.144819817907363
2021,FALSE,3,173477178.1194004,61747422.89429295,354528940871.8788,136680322437.88303,49472520.42479681,16280203.370701343,173276688.8056642,66590321.97128012,0.9988442899757212,1.0784307886869684,6.751752081091728
2016,FALSE,7,48536553.02972223,14452343.204650795,146251129854.9623,42279640058.98018,21186130.825902123,6174569.633295489,135491083.75448188,40479138.444709316,2.791526700948695,2.8008702721426544,9.334997181942883
2016,FALSE,6,37015214.40305557,13455479.117528385,88216659173.56949,30457290228.174995,14312119.937793985,5056697.169133497,89817284.47373821,34842635.59460391,2.4264963994460578,2.589475654509737,8.603118726803082
2020,TRUE,6,16163547.20460541,10716227.683020232,6116328496.972395,4346773332.924155,1415303.6775170173,954275.7814733953,19990514.14845788,17106701.566241287,1.2367652901562394,1.5963361429271146,4.831976524381105
2021,FALSE,4,78835340.51055591,18557896.014371008,153943940701.13443,39109496245.92893,28577242.655640468,6217526.238914413,116493728.62276809,27504177.76509851,1.4776840927980743,1.4820741394282848,8.023357187144772
2017,TRUE,7,19376877.760792702,14951403.95040565,7735073245.326613,6667357757.167711,2135827.5632904544,1819189.4399063077,33696503.49690245,28420272.424266584,1.7390058353510476,1.9008430591894687,5.322631906503261
2020,TRUE,7,24467758.56554492,16622214.329410253,10092791487.93429,7337595945.785648,2696853.524455603,1913158.5452464824,40263727.918731175,32177022.633644614,1.6455830153330788,1.9357843663893026,5.153927635872287
2023,TRUE,3,3261030.2753574997,722538.483122028,382010985.18789047,90429542.28129172,56223.96573272417,13856.644787197614,1772964.9153872652,504129.7437486182,0.5436824456322776,0.6977202675355311,3.075243505903691
2023,TRUE,4,13468137.437526114,10331535.180797484,3149433349.3537703,3436917262.120962,596883.1589035626,611455.2082114392,12206014.99693245,18424323.083350528,0.906288271377672,1.7833093302140184,3.8654670288667448
2016,TRUE,3,1710889.2427777778,1174818.5997524732,177421404.38057104,130596042.94832203,26072.691208177584,19898.721328598156,1199134.339730834,876541.3402561754,0.7008836748449799,0.7461078165095931,3.320271479313367
2024,FALSE,10,188829821.85777783,7335317.296080184,3234722589480.434,120795394923.552,619407759.942963,21734836.72624934,1358253213.1750348,44208565.819051996,7.19300161283867,6.026810297991606,13.000946868394317
2016,FALSE,8,58981139.69583334,16058114.770367613,222429191590.32614,59878088326.88948,43606816.44933487,12140455.036901817,224092970.85047027,64150982.4076275,3.7994004864287336,3.9949261370336386,10.898760746544042
2018,TRUE,5,13428359.989444444,8452363.225620598,3874906420.304904,2676096508.800279,882240.8659719843,603502.8762543376,14763383.957848415,11106246.350625668,1.0994182438848368,1.3139811972302236,4.518001094783652
2020,FALSE,4,75132026.63986802,19290395.919861067,147612039962.95938,40361528036.35809,27193132.596917804,6322918.902723447,109290509.5065062,28710799.370502,1.4546460995970572,1.4883468172336392,7.9710189662923066
2019,FALSE,7,57523895.89944446,13259629.811529638,172924921206.023,37378572684.60932,24494343.5033575,5152483.843319593,156342685.4977338,32827908.426811237,2.717873729745827,2.475778652452756,9.259014907693789
2020,TRUE,1,337.8419444444445,596.6462684889212,351328.83135602775,620464.8051793871,99.45074303703363,168.2266698848604,615.9245106173934,613.6282056603716,1.8231143904592266,1.028462320252935,11.92415362413694
2021,FALSE,5,68968950.23268725,16078812.431406977,113008554369.26479,27668160233.26598,19640406.39271401,4191009.1316365465,122714500.77042751,28701727.843125045,1.779271691919533,1.785065157365823,8.156790545509917
2016,TRUE,9,19018238.43555555,17600813.032319747,11256066199.41968,10477879471.022131,4228377.954598684,3893722.2512718914,40481510.0185336,40061603.56713132,2.128562545669392,2.2761223298928077,5.9698686969391375
2022,FALSE,2,117311074.44025365,67927293.37930593,181099128882.71515,109256558981.22545,51054572.09308924,28024822.940241046,84609982.7794136,56000171.58018736,0.7212446325560281,0.8244134101955523,6.169048639849161
2022,TRUE,9,47590076.74097121,18942355.756117646,28240202174.864548,11036549190.713915,11709772.109987225,4328993.499473473,91686373.30695869,39639833.45605242,1.926585952067275,2.092655948732791,5.835099184234959
2021,FALSE,6,48126625.852426104,10231909.632336995,110530978566.42033,22115853582.60245,17459374.226277772,3121397.1871990794,105602771.0180023,21646886.085530855,2.1942691628085282,2.1156252218176257,8.606240162427877
2020,FALSE,2,89415763.37533306,76629504.39981914,139381929130.6742,117821390981.08029,38106531.92464864,31331707.532324705,60785415.07799107,65548556.503064245,0.6798064768830214,0.8553958036980199,5.85738853292802
2023,TRUE,8,46213262.53605141,24182164.66617971,21605683178.58716,11283430802.1723,7188171.604563235,3305899.055620686,78124190.06409913,48930330.72431749,1.6905144925259001,2.0234057372353296,5.326801556877805
2022,TRUE,2,41677.10184916668,21063.647304091195,32610122.336024325,21262993.409846302,5671.592138865655,3595.8699868289054,21345.16809345323,11124.204992353034,0.51215576770917,0.52812339818244,2.889542238048105
2024,TRUE,3,3769141.3000000003,736756.5532697734,457577808.3067407,94728584.301085,68100.8171394211,14592.178230101665,2101537.323846391,533157.1514036012,0.5575639533191262,0.72365444058477,3.1779936520501146
2017,TRUE,2,28030.780833333327,10424.102808668318,21655509.546746556,12300696.829319747,3761.3398585388286,2220.5942099694043,14593.703295865911,6830.938185769954,0.5206313510364841,0.6553022654467284,3.2059520351312027
2020,FALSE,5,67547805.74246585,17193449.687237445,109470756156.48653,29184781541.6706,19206829.211247403,4491886.928618605,120553990.77751191,30190971.647851802,1.7847210498167554,1.755957774446062,8.085875430444023
2019,TRUE,7,23784063.62888888,18095508.87935149,9785540498.473383,8048845650.306932,2627128.579061151,2084194.5235768466,40361734.57707558,36801558.29389441,1.6970075091815233,2.033739893100664,5.301755146128287
2016,TRUE,5,9878012.305555554,7509578.331523691,2706001530.2230825,2149861427.9837785,610312.3077549371,483636.2524041946,11204628.640107503,9056785.041262832,1.1342999273047918,1.2060311034035398,4.452505823190559
2021,TRUE,6,17283547.11133557,12683247.879050503,6595973083.665465,5125738940.442136,1534177.6068150415,1148574.7988571827,21567675.390590746,20499215.478906676,1.2478732086450812,1.616243384532929,4.794841935198582
2023,FALSE,2,122462599.96595782,53642604.384027086,182222365761.5638,81424346895.90329,52460293.93308937,21477880.99687157,89550612.33155364,44720395.08884987,0.7312486616848486,0.8336730776286854,6.193548072046559
2024,TRUE,10,89099174.50416672,25110668.53062267,114506603948.33743,34088696853.2527,37427588.436658934,10187201.136354735,205717051.84295872,61249964.20289048,2.308854745150735,2.4392008571255537,8.803703905803193
2020,TRUE,8,26343530.495371092,15648550.903604914,12148648569.142277,7448463482.609101,3752982.628376506,2276902.3947933177,45860918.027595796,29401166.63899407,1.7408797213287022,1.878842764426258,5.510831598531497
2023,FALSE,9,69471349.13367276,3723889.538700648,558492585054.3912,29196163115.231564,107963684.79129128,5140016.311247461,361668901.1926597,16483914.21400982,5.2060152235817,4.426531464668912,12.397089400248275
2021,FALSE,8,67537331.22535145,10035996.769837417,258031142166.8674,38091354237.72296,47183522.06671791,6746867.563863844,235579753.60443515,36487227.444166414,3.488141289124639,3.635635630516201,10.959597818182479
2019,TRUE,6,15412124.718333332,11580337.942619333,5786524848.247358,4698375745.12689,1347773.585874578,1041773.078233808,19714761.018116117,19085606.266941603,1.2791721698608258,1.648104430242963,4.900727238811679
2019,FALSE,1,94605005.00388889,164488136.95219654,88356312108.05588,188951698613.62946,43865531.879782856,82369028.20035985,83349938.60072212,155957553.35921326,0.881030962339634,0.9481386089535294,5.689425345942771
2021,TRUE,7,26016843.440201186,19651607.86168207,10976449338.224745,8729630326.274399,2919984.921858763,2218187.4084647642,43377511.658042654,37118186.59802523,1.667285724255687,1.888811687027431,5.19921653756706
2016,TRUE,6,10938152.934166664,9161668.149121134,3796541966.4246793,3400959898.9871716,917524.0724848349,797930.4406914571,14514694.172447603,13677486.640248837,1.3269785364866469,1.4929035212392952,4.87951980106646
2022,TRUE,3,3481687.1948853172,1067525.3748716845,388721451.46827346,131159049.68501174,55809.932482433556,19658.968164907837,1888369.5561376007,693252.8110324597,0.542371973826845,0.6494017166718759,3.2179185881617456
2024,TRUE,2,46325.69083333334,17460.941020165727,13616086.897446834,16815209.293435752,2633.188818269193,2858.5950565551475,17370.246126720962,5361.573893858,0.37495924646249024,0.3070609933145007,3.143267059431789
2020,TRUE,10,49983736.123584256,20172346.237742595,73248025665.53056,28578377383.00246,22784102.833270773,8617144.82120144,142849346.93343106,61354761.96429075,2.857916554701665,3.0415283002378564,8.883691872661911
2018,TRUE,7,21711448.781388894,16510882.338765746,8773746848.778847,7265932949.165905,2380188.182594571,1936165.254292739,37796532.67284769,33700227.499806084,1.7408572340527992,2.0410918573795196,5.344952946034421
2020,FALSE,3,162187011.38551226,62196281.26968129,333510054104.7751,137374690674.22427,45839169.48461715,16821913.09591272,160798099.59851727,65303625.07707941,0.991436356246225,1.049960282897377,6.616638581754568
2019,FALSE,10,147683248.95944446,13602710.008800203,2550560230884.792,233796795841.27444,501476739.8593883,47270582.91638597,1076904336.4380655,100760330.6010074,7.291987033233512,7.4073718057520175,13.106451990664425
2017,TRUE,3,2169828.9616666664,1156043.8836470484,230940963.70625108,132883709.88896583,33466.22943963025,20032.27745291065,1442803.8909949816,858498.7263587686,0.6649389958767764,0.7426177660751128,3.3617833637632697
2023,TRUE,2,45456.6525,18745.315622910497,24272082.501147788,19229506.46336919,4270.634418170491,3248.8940565831836,20936.470044731537,7755.131745283955,0.46058099075226755,0.41371038510579383,3.190446608489425
2023,FALSE,3,204285647.35288978,53287626.46864927,416565524401.7959,116604782170.75824,58974391.96906708,13818081.264510699,201108342.96841994,59164596.62731717,0.9844467566584291,1.1102877074497868,6.910135923734573
2022,FALSE,8,68311632.5236738,7454111.949660925,272047869463.99796,29085501266.144512,48002216.88639871,5119450.655239077,237096313.75132033,28423383.497950185,3.470804385609628,3.813114652677455,10.920424054458932
2017,FALSE,9,57944259.89611114,8847437.843384957,462894195152.97974,71661232322.13448,99031233.94917747,14469930.885860275,326486772.44137377,48984043.01820701,5.634497239704766,5.536522989515134,12.617161648500474
2018,FALSE,6,43655962.11583334,11093981.110369889,100715764573.84143,25071636995.271717,16582912.912488045,3905604.8327420247,102886078.22702415,26980490.66384785,2.3567474690864496,2.43199356438676,8.726531344837577
2018,TRUE,10,46321057.16632183,22141278.912665546,67036855398.91686,30254513767.890457,21118427.353875455,9545520.106159355,136876581.44453168,69322087.0840551,2.95495374712754,3.130898055053205,8.974806661520208
2022,TRUE,7,32916324.72676303,26834928.22959629,13972783166.086048,11492033806.949726,3731309.200090946,2814830.0113495146,55358471.51168348,58188433.53286852,1.6817938202764655,2.1683841683873926,4.98161217922489
2024,FALSE,1,169472956.21944442,113644311.88358289,156850735372.21246,125930037844.32112,79057201.90055427,55817988.32745703,143579002.40006343,99619146.91989039,0.8472089329352829,0.8765871803767894,5.882093828030639
2020,FALSE,6,46772104.55370518,11830292.37565003,106177504680.70047,25090291042.278946,17067470.700561292,3694075.1359333014,103747062.7768173,25387930.79774265,2.2181397173969737,2.1460104274344007,8.60941310689263
2024,FALSE,9,71532632.28388889,4457440.361669283,582763204104.6255,34132939367.65732,110333973.50689042,5679903.674435852,368909445.8910057,18344804.107283436,5.157218937881784,4.115546730593479,12.328693204044807
2020,TRUE,5,16193539.395699967,8516576.899996426,4889256884.956176,2798817507.05449,1122994.417837561,633283.5088368756,16769297.008129062,10560438.602611441,1.0355547727004006,1.2399862910432797,4.432362807672297
2023,FALSE,4,90752137.51273112,17156789.549826045,181852883697.92953,35178937540.15876,33469454.8045799,5796216.674986942,128930157.315998,25586837.29059973,1.4206845243497555,1.4913534502647763,8.140984278556708
2020,FALSE,9,60521134.34086457,6834068.425224676,479114654766.27057,54286115612.53641,94461813.78721415,10488905.920222506,310313348.5840477,37759378.825751096,5.1273551291407395,5.525168388185947,12.331337592105232
2017,FALSE,5,60878432.30826737,16563749.476161294,98542390881.96895,28394599728.598698,17620290.378794696,4891080.451052887,118417488.75893064,32445200.68044506,1.9451468158592742,1.9588077401883253,8.186962170674326
2016,FALSE,3,117173343.96194445,81040170.51347926,245714563505.56494,181813066500.59732,34549614.85022169,23003636.614165805,127216872.62321146,91009837.26891732,1.0857151321424177,1.123021295393003,6.885329574591567
2019,FALSE,6,46056328.048055544,12246442.209567621,104187278451.4663,27255558198.60679,17217327.761728283,4075854.418468722,110447628.19735277,28716745.113477264,2.3980988688918234,2.344905126081606,8.639234438241443
2020,FALSE,1,96415281.30461447,176694150.07217878,94883550323.70781,198909423651.03342,45615473.692633726,87825356.13930379,71013766.6861724,151045444.67375827,0.736540574536224,0.854841230522102,5.57708151347986
2022,TRUE,4,13016671.101677138,10148191.996112697,2953080230.4248643,3253180572.219853,562981.8330013972,574938.1809763614,10808059.449249003,17577817.07070515,0.8303243866902679,1.7321131761636357,3.8323265071493884
2024,TRUE,8,50822607.49722224,21340961.181569505,23822491322.885967,9830123169.683445,7822348.178388422,2886998.828856221,81635053.52401371,43281318.40076352,1.6062744031477638,2.028086646731833,5.222853001055018
2024,TRUE,5,23382551.392499994,11117496.796539515,7445479705.00964,4003291507.923847,1680617.1397094897,824503.1651506134,27058234.078484025,19931194.779023297,1.1571976737817846,1.7927772001002218,4.107828218656934
2021,FALSE,7,60735051.62874907,11844448.378962036,181314329195.9651,32661656879.514908,24730099.47841928,4259271.73627258,154327420.24217996,28555069.13763871,2.5409943040063,2.4108399331080603,9.102371743991133
2023,TRUE,10,83548378.76661472,25416710.322511997,107221619385.35048,34950736240.80092,35413454.053317845,10378209.472091004,203693144.41792175,59046586.6580331,2.438026295961065,2.3231404028606555,8.891018511497442
2018,FALSE,3,148740609.36888885,84090813.82315813,303310665875.66797,180921200409.7878,43975714.69097759,24403487.01718066,167506539.96306655,100134537.13399607,1.1261654814633484,1.1907904393050313,6.95463392852418
2024,FALSE,4,101349663.0141667,17138874.22066605,205664209916.97675,35643884986.680374,37014068.53265737,5778261.308279794,136542026.49965754,24136325.7413926,1.3472371040895483,1.408279530535852,8.15631279310419
2016,FALSE,4,58123360.0011111,19923685.994228914,116570949167.1676,43864393721.11271,22008010.992249276,7078134.293994086,97809926.03449488,31808581.675521955,1.682798895876376,1.5965209291461235,8.258513380101126
2018,FALSE,10,144080998.39361113,11914823.926646117,2491630070490.2837,206029774210.79346,498196447.9108928,43059907.484579965,1059799002.4245715,91771231.79624343,7.355577864121501,7.7022734336012935,13.18442960637322
