fishing,lon_bin,lat_bin,avg_neighbor_ratio,within_footprint
FALSE,-26,50,0.12361800207920381,FALSE
TRUE,-44,50,0.42525218589552216,FALSE
TRUE,-27,51,0.43868299955441575,FALSE
TRUE,-27,54,0.36025903619342986,FALSE
FALSE,-156,54,0.17233651243480747,FALSE
FALSE,169,54,0.21792610899551765,FALSE
FALSE,-170,55,0.15068941728806873,FALSE
FALSE,-50,63,0.1014642430278778,FALSE
FALSE,-174,68,0.12763147546142556,FALSE
TRUE,-139,69,0.5683988560254467,FALSE
TRUE,-45,51,0.44029827458905024,FALSE
FALSE,-143,54,0.19486396750164606,FALSE
TRUE,-162,65,0.6030979118181327,FALSE
FALSE,177,69,0.13263975651574691,FALSE
FALSE,-56,65,0.10252496631297293,FALSE
TRUE,-58,61,0.4785336361503563,FALSE
TRUE,-144,41,1.1084777215567405,FALSE
TRUE,-85,-74,0.8175479570040487,FALSE
TRUE,-124,-73,0.8426316705728024,FALSE
FALSE,-135,-71,0.18168553572887106,FALSE
FALSE,-111,-71,0.1835961868196398,FALSE
TRUE,-126,-70,0.8457793242660173,FALSE
TRUE,49,41,3.6657113819849108,FALSE
FALSE,-37,46,0.09536145207274138,FALSE
TRUE,173,46,1.2428672530893068,FALSE
FALSE,159,50,0.32442115339697003,FALSE
TRUE,-177,50,0.7143043085925354,FALSE
FALSE,-146,50,0.19065190573188825,FALSE
FALSE,-23,61,0.11398964919604164,FALSE
FALSE,-57,62,0.10399091867183263,FALSE
FALSE,-55,64,0.1021480376874321,FALSE
FALSE,-19,44,0.1505260545593318,FALSE
TRUE,49,45,2.3744133016256255,FALSE
FALSE,-157,51,0.17440663211623728,FALSE
TRUE,-152,53,0.6368948272355418,FALSE
FALSE,-38,58,0.10250058887563261,FALSE
FALSE,176,-77,0.24482371976382253,FALSE
FALSE,-23,-75,0.1775371102020406,FALSE
TRUE,-165,-74,0.6534604907814144,FALSE
TRUE,-13,-72,0.40500615697843884,FALSE
TRUE,-27,-71,0.5298470141753495,FALSE
TRUE,-138,-75,0.6382731348959899,FALSE
TRUE,-25,-70,0.512817759981171,FALSE
FALSE,174,-70,0.25224939583838807,FALSE
FALSE,-165,-79,0.2358996359656299,FALSE
TRUE,160,49,1.8573028629961277,FALSE
FALSE,-28,49,0.11671438988189423,FALSE
FALSE,-37,50,0.0940568325003275,FALSE
FALSE,-178,65,0.1310271179388195,FALSE
FALSE,-15,68,0.12272156696997062,FALSE
TRUE,-3,69,0.2589570881495979,FALSE
TRUE,-26,48,0.42261251297972585,FALSE
FALSE,-86,59,0.142532434464333,FALSE
TRUE,-38,61,0.12222534557895423,FALSE
TRUE,-34,65,0.1207418701015497,FALSE
TRUE,-30,66,0.11796348352686055,FALSE
FALSE,-53,66,0.10327245521025381,FALSE
TRUE,172,55,1.257413020046045,FALSE
TRUE,-135,44,1.1724317674229727,FALSE
TRUE,-34,54,0.22444472326367845,FALSE
FALSE,157,41,0.44061088570659973,FALSE
FALSE,-49,42,0.12254871227816418,FALSE
TRUE,-34,40,0.3282936358861415,FALSE
TRUE,-35,-71,0.5902672430619746,FALSE
TRUE,-27,-74,0.5348860538525281,FALSE
TRUE,177,-78,0.645392592052112,FALSE
TRUE,-176,-78,0.6465430094596765,FALSE
FALSE,-8,-71,0.17575588253351523,FALSE
FALSE,-173,-74,0.24612995328348694,FALSE
FALSE,-51,-77,0.17814019950713159,FALSE
TRUE,-159,-75,0.6407298984970923,FALSE
TRUE,-150,47,0.6458876247016281,FALSE
TRUE,162,51,1.7537031013997666,FALSE
TRUE,-35,54,0.21776830254584417,FALSE
FALSE,168,55,0.21520193169427382,FALSE
FALSE,-36,55,0.10065699551810037,FALSE
FALSE,-35,58,0.10601294731759643,FALSE
TRUE,-44,58,0.24133939189256906,FALSE
TRUE,-177,59,0.72507360015094,FALSE
FALSE,-60,61,0.1089823416718944,FALSE
FALSE,-37,64,0.10901925770697783,FALSE
TRUE,-91,65,0.7423815460678274,FALSE
FALSE,-13,68,0.12440973091386343,FALSE
TRUE,-136,42,1.2953340038857797,FALSE
TRUE,-34,46,0.3493033913890565,FALSE
TRUE,176,65,0.8172989169455341,FALSE
FALSE,160,50,0.31479168842033567,FALSE
FALSE,-151,52,0.17809004323975072,FALSE
TRUE,-165,69,0.5553843141235358,FALSE
FALSE,-2,66,0.1544583858118522,FALSE
TRUE,-175,50,0.6645659664343556,FALSE
TRUE,-146,50,0.7253900567721647,FALSE
TRUE,150,40,2.365566647727509,FALSE
FALSE,-18,40,0.1585463794273506,FALSE
TRUE,-50,40,0.4878075124717379,FALSE
FALSE,51,42,0.5133189349942168,FALSE
TRUE,-177,-79,0.6442322244844167,FALSE
TRUE,-25,-76,0.5290990451291212,FALSE
FALSE,-169,-73,0.24843289183230208,FALSE
FALSE,-28,-73,0.18067163190461816,FALSE
TRUE,-133,-70,0.719570527338733,FALSE
TRUE,-134,-72,0.6957616419601419,FALSE
TRUE,-118,-74,0.8504883687776718,FALSE
FALSE,-50,-77,0.17875837111562426,FALSE
FALSE,-4,-71,0.17587111723448678,FALSE
FALSE,178,-72,0.2527267940361513,FALSE
TRUE,163,-70,0.6391635469053509,FALSE
FALSE,-169,47,0.17456033158334466,FALSE
TRUE,172,48,1.3167561706053166,FALSE
TRUE,-45,49,0.4659790110883317,FALSE
TRUE,-143,52,0.7767711252787548,FALSE
FALSE,177,57,0.15623741365756208,FALSE
TRUE,-40,62,0.12753559648822563,FALSE
FALSE,-49,62,0.10095280979230324,FALSE
TRUE,-30,63,0.11867512598523206,FALSE
TRUE,-63,64,0.428887393693361,FALSE
FALSE,-136,43,0.2016570830311335,FALSE
TRUE,-50,52,0.5640567831292775,FALSE
FALSE,-61,63,0.10614084956299039,FALSE
TRUE,-56,65,0.24880122736194285,FALSE
FALSE,-142,45,0.1960282322682875,FALSE
TRUE,171,45,1.3633838821681348,FALSE
FALSE,152,54,0.4130695809276155,FALSE
TRUE,-71,46,1.0053982468130946,FALSE
TRUE,172,-71,0.6545392337972452,FALSE
FALSE,-133,40,0.21558864546479625,FALSE
FALSE,-134,42,0.20755552159131524,FALSE
FALSE,160,42,0.39572319212595475,FALSE
TRUE,-154,-75,0.6327107928574274,FALSE
FALSE,-34,-74,0.1841330028759499,FALSE
TRUE,-85,-70,0.8380926175733039,FALSE
TRUE,176,55,1.080473535793024,FALSE
TRUE,-143,-73,0.6182602663146147,FALSE
TRUE,-127,-72,0.822493351007672,FALSE
FALSE,-108,-74,0.17570223982550345,FALSE
FALSE,-43,-75,0.18159617428654767,FALSE
FALSE,-119,-73,0.1757666849345488,FALSE
FALSE,-160,-73,0.24454855345703028,FALSE
FALSE,144,43,0.589898774941001,FALSE
TRUE,-87,44,0.8185207181593382,FALSE
TRUE,-137,45,1.0624829558202424,FALSE
FALSE,-87,46,0.19929348282423595,FALSE
FALSE,-177,47,0.1734900087266684,FALSE
FALSE,-48,47,0.11223576706220006,FALSE
FALSE,172,47,0.25604337543357225,FALSE
FALSE,-28,47,0.11851316428678163,FALSE
FALSE,-21,50,0.1377973816891968,FALSE
TRUE,-21,50,0.5089675757869103,FALSE
FALSE,145,50,0.5745140733157066,FALSE
TRUE,-31,50,0.3725919052236088,FALSE
FALSE,-156,50,0.17618595500636314,FALSE
TRUE,-169,50,0.5684942737621844,FALSE
FALSE,170,54,0.2108624437776884,FALSE
TRUE,-59,57,0.6604052454731858,FALSE
FALSE,-39,63,0.10732701762466183,FALSE
FALSE,-35,63,0.11012028693573243,FALSE
TRUE,-37,65,0.12100111047086642,FALSE
TRUE,-82,69,0.4102785711724426,FALSE
FALSE,45,69,0.2723289010059935,FALSE
FALSE,-143,41,0.1943326814395289,FALSE
TRUE,-66,46,0.8480241989146766,FALSE
FALSE,-38,62,0.10701698893551852,FALSE
FALSE,159,44,0.38750851831215194,FALSE
TRUE,159,44,1.9188577756396348,FALSE
TRUE,-147,49,0.705755226893973,FALSE
FALSE,152,55,0.4044411819009612,FALSE
FALSE,-142,57,0.19212746641266637,FALSE
TRUE,-43,58,0.21936074408880807,FALSE
TRUE,-39,58,0.15539801591182517,FALSE
FALSE,-160,43,0.20561805561344765,FALSE
TRUE,-90,60,0.914349933356279,FALSE
FALSE,-82,65,0.11961066955305473,FALSE
TRUE,169,-74,0.6451187004416086,FALSE
TRUE,-73,-73,0.7572374542231533,FALSE
FALSE,-122,-72,0.17726299806160903,FALSE
TRUE,-152,-70,0.6487482836014639,FALSE
FALSE,168,40,0.3201280497614689,FALSE
FALSE,-36,-77,0.18061217315532774,FALSE
TRUE,-42,-75,0.6136125283923203,FALSE
TRUE,-112,-73,0.8571970820043584,FALSE
TRUE,7,-70,0.42525262026687016,FALSE
TRUE,-153,-70,0.6505005202963666,FALSE
TRUE,-142,-71,0.6221439482848558,FALSE
TRUE,-155,-77,0.6282441790823955,FALSE
FALSE,-165,47,0.1750409267844859,FALSE
FALSE,-146,49,0.19076036661544943,FALSE
FALSE,-171,51,0.16140327953370476,FALSE
TRUE,-48,53,0.49257514249594025,FALSE
FALSE,-151,56,0.17507230074584043,FALSE
FALSE,-27,59,0.11279959165495396,FALSE
TRUE,-44,59,0.22267634544985312,FALSE
TRUE,-179,66,0.6550047142136856,FALSE
TRUE,-148,43,0.7770681449927,FALSE
FALSE,-161,43,0.20589469058208346,FALSE
TRUE,-178,49,0.7236445486470985,FALSE
TRUE,-60,69,0.17449364483416405,FALSE
TRUE,-90,68,0.5519542089468116,FALSE
TRUE,-63,68,0.23062694980101975,FALSE
FALSE,-161,48,0.17373268454415564,FALSE
FALSE,165,-76,0.2400546336389124,FALSE
TRUE,170,-73,0.650168327773827,FALSE
FALSE,173,-71,0.24943006205699841,FALSE
FALSE,177,41,0.24338624770593767,FALSE
TRUE,-151,42,0.6387749509180838,FALSE
FALSE,-45,43,0.11083336580828868,FALSE
TRUE,-8,66,0.17606391735438626,FALSE
TRUE,-47,-77,0.633473673507531,FALSE
TRUE,-35,-75,0.5760243291890351,FALSE
FALSE,-26,-74,0.1789006260710449,FALSE
TRUE,-137,-73,0.647672887516336,FALSE
FALSE,-82,-73,0.18933755024917248,FALSE
FALSE,-107,-75,0.17359670222907175,FALSE
TRUE,-48,-76,0.6379703090543122,FALSE
TRUE,-18,-73,0.4724752793564468,FALSE
FALSE,-148,48,0.18581903225360746,FALSE
FALSE,163,49,0.30271864940931614,FALSE
TRUE,-79,52,1.0490553014095265,FALSE
TRUE,147,53,2.038092487150456,FALSE
FALSE,-54,59,0.10479881227543497,FALSE
TRUE,-178,64,0.6920373246044358,FALSE
TRUE,-6,66,0.22425524054470206,FALSE
TRUE,52,68,0.2219494556336186,FALSE
FALSE,170,44,0.2865722265355116,FALSE
TRUE,178,44,1.0328954672124284,FALSE
TRUE,-154,47,0.6105533847838291,FALSE
FALSE,-153,48,0.1787033264210179,FALSE
FALSE,-63,67,0.10379852088879604,FALSE
TRUE,-179,46,0.707663512368992,FALSE
TRUE,-151,54,0.6393861249612491,FALSE
TRUE,-55,61,0.40096842902103824,FALSE
TRUE,-54,69,0.142866790695575,FALSE
FALSE,-22,47,0.13787763123573302,FALSE
FALSE,-164,48,0.17149100393141875,FALSE
TRUE,-140,51,0.835530079977082,FALSE
TRUE,-38,45,0.3482863565564174,FALSE
FALSE,-140,41,0.19732029669666468,FALSE
FALSE,-171,42,0.212681468267238,FALSE
TRUE,-20,45,0.40846745724117034,FALSE
FALSE,-111,-74,0.17392145829993036,FALSE
TRUE,-126,-73,0.8276161400390675,FALSE
TRUE,-85,-72,0.8275950089238321,FALSE
FALSE,-137,-72,0.18520490943744802,FALSE
TRUE,-170,-70,0.6673490141902564,FALSE
TRUE,-137,-75,0.6495832901955432,FALSE
FALSE,-168,-74,0.2458774733327879,FALSE
TRUE,-133,-73,0.7140118647266845,FALSE
TRUE,-165,-70,0.6665353096120842,FALSE
TRUE,-122,-74,0.8436606435392889,FALSE
FALSE,-161,-74,0.24231924078357175,FALSE
FALSE,6,-70,0.18244439790211306,FALSE
TRUE,-110,-75,0.8445048556882854,FALSE
TRUE,-161,46,0.5763992463860554,FALSE
FALSE,-53,52,0.12045322826242275,FALSE
FALSE,-116,69,0.1653140367690336,FALSE
FALSE,157,40,0.4512758787623409,FALSE
TRUE,-52,54,0.5813745277816377,FALSE
FALSE,158,59,0.2937349350381438,FALSE
TRUE,-34,59,0.12287623275007256,FALSE
FALSE,-171,61,0.1365823816856114,FALSE
TRUE,165,43,1.6873138717063787,FALSE
FALSE,-80,43,0.20554189331372147,FALSE
TRUE,173,44,1.24949946977,FALSE
FALSE,-36,61,0.1069802142957099,FALSE
TRUE,75,68,0.20691075611093662,FALSE
TRUE,-86,61,0.9678078060383347,FALSE
FALSE,127,40,1.222246513113137,FALSE
FALSE,-56,40,0.1389051804741948,FALSE
TRUE,-165,-78,0.6372261537616477,FALSE
TRUE,-35,-77,0.5743337783590853,FALSE
TRUE,-159,-76,0.6379820295746408,FALSE
TRUE,-152,-71,0.6443461674420186,FALSE
TRUE,-26,-71,0.5226739768171148,FALSE
FALSE,-106,-70,0.19342686860399594,FALSE
TRUE,50,40,4.022088983235609,FALSE
FALSE,-168,-76,0.24197935071245497,FALSE
TRUE,-167,-71,0.6657032321078756,FALSE
FALSE,-20,-71,0.17699706338412807,FALSE
FALSE,-81,-71,0.19453685260580045,FALSE
TRUE,9,-70,0.4325093196113577,FALSE
TRUE,12,-70,0.4416173458712419,FALSE
TRUE,175,45,1.122851325970915,FALSE
TRUE,-22,46,0.4087497907858757,FALSE
TRUE,-153,48,0.6173478550186395,FALSE
FALSE,-140,49,0.20348729306501698,FALSE
FALSE,167,52,0.2494676657101694,FALSE
TRUE,-146,52,0.7115015670799701,FALSE
TRUE,-49,53,0.5225096073053369,FALSE
FALSE,172,57,0.1765436490274906,FALSE
FALSE,-13,60,0.13750813679046697,FALSE
FALSE,-36,60,0.10659624920393981,FALSE
TRUE,-54,60,0.41753688339135836,FALSE
FALSE,-172,60,0.13751869008478315,FALSE
TRUE,-36,62,0.1190591874817091,FALSE
FALSE,-178,63,0.1338475162145692,FALSE
TRUE,45,67,0.2574578050135542,FALSE
TRUE,-9,68,0.1342445439786961,FALSE
FALSE,-8,69,0.13570947664814298,FALSE
FALSE,169,-70,0.25051408851745904,FALSE
TRUE,170,-72,0.6517459097166183,FALSE
FALSE,175,-70,0.25501503120739655,FALSE
FALSE,-168,48,0.17036087476793277,FALSE
TRUE,-30,59,0.13617113455650148,FALSE
FALSE,-56,66,0.10315770474915248,FALSE
TRUE,-24,50,0.47928200993498093,FALSE
TRUE,-60,63,0.422028248591163,FALSE
TRUE,-134,42,1.3277041747078606,FALSE
TRUE,177,56,1.0392940381689042,FALSE
TRUE,-80,-73,0.8037820795696424,FALSE
FALSE,-110,-71,0.1845712656283401,FALSE
TRUE,-174,40,0.553892185986604,FALSE
TRUE,-153,40,0.5506689738746006,FALSE
TRUE,-162,-74,0.6493296194379649,FALSE
FALSE,-137,43,0.19962799268746367,FALSE
FALSE,-167,49,0.16801269238311936,FALSE
TRUE,-29,49,0.40714796922515567,FALSE
TRUE,-172,50,0.5954579073756754,FALSE
FALSE,151,54,0.43096752602703015,FALSE
FALSE,177,65,0.139532061833305,FALSE
TRUE,-31,66,0.11903012120966217,FALSE
FALSE,-34,67,0.11042172495940882,FALSE
TRUE,72,68,0.20744784332169192,FALSE
TRUE,174,46,1.181826108703019,FALSE
FALSE,-60,59,0.11496626273376544,FALSE
TRUE,171,46,1.3595668698122265,FALSE
FALSE,174,49,0.2235002268481883,FALSE
TRUE,-21,49,0.48348766047184344,FALSE
FALSE,-67,66,0.10415380633557288,FALSE
FALSE,123,41,1.3396122830057144,FALSE
TRUE,175,-78,0.6470626525509567,FALSE
TRUE,-159,40,0.5036452394519974,FALSE
FALSE,-25,55,0.12209210208888803,FALSE
TRUE,-167,-76,0.6465247229996932,FALSE
TRUE,-175,-73,0.6594601776800201,FALSE
TRUE,-148,-72,0.6293213346616702,FALSE
TRUE,-178,-70,0.6643735677474096,FALSE
TRUE,-37,-70,0.6096062405778562,FALSE
TRUE,-175,-70,0.6655553096023774,FALSE
FALSE,-131,-70,0.17990774432218182,FALSE
FALSE,-176,55,0.14586714404954085,FALSE
FALSE,-153,-76,0.2310268020790019,FALSE
FALSE,-82,-74,0.1877565043624068,FALSE
TRUE,-123,-74,0.8418175553066946,FALSE
TRUE,-82,-72,0.8135622685650501,FALSE
