year,emissions_co2_mt,distance_travelled_nm,vessel_hours,n_unique_vessels,n_pings
2015,687187536.3675152,2198213639.095023,670834233.4047505,249732,2278111445
2016,752723804.3903004,2388891755.265247,767570689.9009199,282661,3209057262
2017,824218654.8097402,2612556223.9993505,877328740.4283168,316073,6080481726
2018,861417974.3023983,2708518645.0456257,945515597.968253,345277,6824165462
2019,884081784.857797,2778336076.71791,1004769145.4325662,375934,7543688021
2020,879054702.1980138,2690757467.681024,1031253357.4664303,393810,8771255188
2021,941098606.7721887,2846915142.0872602,1111004771.4805272,425933,10724720010
2022,1004524398.1305932,3080453878.2221208,1224400349.0607088,449659,13282191690
2023,1054249166.9972264,3292861545.4690323,1328793296.7629986,480651,17286841998
2024,1139197974.2828805,3466204574.6624274,1458930406.5975652,508849,22416265250
2025,1189412752.7982936,3624003514.635528,1548456775.8530536,529848,26563911459
