time,fishing,n_cells,n_matched,n_unmatched,ais_vessel_hours,ais_hours_x_scenes,union_km2,union_x_scenes_km2,mean_scenes
2017-01-01 00:00:00,false,5899,70923.0,25203.0,4.4187285017777905E7,6.129970960580539E8,3.0469403555387493E7,3.5808866588102716E8,10.689269367689452
2017-01-01 00:00:00,true,5899,40170.0,66745.0,7089339.020555565,1.5821303146361092E8,3.0469403555387493E7,3.5808866588102716E8,10.689269367689452
2017-02-01 00:00:00,false,7638,75189.0,30746.0,4.193912636249987E7,5.591273255958331E8,4.7588389524206586E7,4.6258104709515613E8,9.632233568997133
2017-02-01 00:00:00,true,7638,41955.0,86615.0,7140515.687222207,1.4418478790333346E8,4.7588389524206586E7,4.6258104709515613E8,9.632233568997133
2017-03-01 00:00:00,false,7783,94223.0,42283.0,4.9248254473333456E7,7.364183587838863E8,5.06355358927509E7,5.837449407709718E8,11.457021713992036
2017-03-01 00:00:00,true,7783,57805.0,122718.0,9447635.982499987,2.0194196206222266E8,5.06355358927509E7,5.837449407709718E8,11.457021713992036
2017-04-01 00:00:00,false,7727,95532.0,42248.0,5.009619604611113E7,7.757687028780564E8,4.915712600576236E7,5.624868656108927E8,11.211336870713087
2017-04-01 00:00:00,true,7727,62374.0,133116.0,1.0191510740555568E7,1.9342355332027823E8,4.915712600576236E7,5.624868656108927E8,11.211336870713087
2017-05-01 00:00:00,false,7886,105668.0,43777.0,5.448366185472227E7,9.394049664505563E8,5.061943655563814E7,6.213358389722477E8,12.166624397666743
2017-05-01 00:00:00,true,7886,60549.0,126707.0,7502076.794722231,1.930223225116665E8,5.061943655563814E7,6.213358389722477E8,12.166624397666743
2017-06-01 00:00:00,false,7902,105966.0,40960.0,5.519779698749987E7,9.63124877474443E8,5.099955074005816E7,6.550518316045405E8,12.854720323968625
2017-06-01 00:00:00,true,7902,60869.0,118838.0,7531610.467777783,1.999772913247227E8,5.099955074005816E7,6.550518316045405E8,12.854720323968625
2017-07-01 00:00:00,false,7923,107133.0,40859.0,5.9797632138348825E7,1.0868247583471818E9,5.108162669897402E7,6.745063531685522E8,13.189069796794131
2017-07-01 00:00:00,true,7923,65329.0,120953.0,8172672.276031009,2.0960918065641618E8,5.108162669897402E7,6.745063531685522E8,13.189069796794131
2017-08-01 00:00:00,false,7929,109685.0,44581.0,5.983402370149554E7,1.097585764972579E9,5.0930998353867E7,6.796320484494648E8,13.288182620759224
2017-08-01 00:00:00,true,7929,75864.0,144125.0,1.1374562093716023E7,2.332607133442821E8,5.0930998353867E7,6.796320484494648E8,13.288182620759224
2017-09-01 00:00:00,false,7966,106937.0,44043.0,5.4626414391388856E7,9.294225483550034E8,5.1579512593743116E7,6.78266616904075E8,13.094401205121803
2017-09-01 00:00:00,true,7966,82206.0,155895.0,1.4676953707499988E7,2.5307483880472228E8,5.1579512593743116E7,6.78266616904075E8,13.094401205121803
2017-10-01 00:00:00,false,8001,107947.0,45957.0,5.397227904999991E7,9.047483775150034E8,5.168490241755006E7,6.867298647884277E8,13.232470941132393
2017-10-01 00:00:00,true,8001,73787.0,147141.0,1.2766598433888866E7,2.4803870653833294E8,5.168490241755006E7,6.867298647884277E8,13.232470941132393
2017-11-01 00:00:00,false,7991,106295.0,48050.0,5.041794082972214E7,8.182379515974987E8,5.172615939250874E7,6.787650939357338E8,13.073457639844811
2017-11-01 00:00:00,true,7991,67512.0,142734.0,1.1471007541666672E7,2.285504053591662E8,5.172615939250874E7,6.787650939357338E8,13.073457639844811
2017-12-01 00:00:00,false,7979,101469.0,46018.0,5.09247156744445E7,8.041578994844469E8,5.140605582175532E7,6.907242500763899E8,13.268956009524976
2017-12-01 00:00:00,true,7979,50282.0,116015.0,9993540.566666635,2.0079974344555542E8,5.140605582175532E7,6.907242500763899E8,13.268956009524976
2018-01-01 00:00:00,false,8011,98983.0,42026.0,5.08590120533336E7,8.038820482580588E8,5.169246817829043E7,6.974496764808744E8,13.31456746972909
2018-01-01 00:00:00,true,8011,49395.0,108652.0,9240045.293611122,1.9923532489111096E8,5.169246817829043E7,6.974496764808744E8,13.31456746972909
2018-02-01 00:00:00,false,8012,89355.0,36466.0,4.460626972857127E7,6.565260789373593E8,5.1868473857684E7,6.313405297212509E8,12.021592611083358
2018-02-01 00:00:00,true,8012,48516.0,92820.0,8045109.296044065,1.6930756826668546E8,5.1868473857684E7,6.313405297212509E8,12.021592611083358
2018-03-01 00:00:00,false,8081,103263.0,41859.0,5.263979662805549E7,8.20982441852221E8,5.213881244579753E7,6.776342604030846E8,12.70857567132782
2018-03-01 00:00:00,true,8081,64812.0,127195.0,1.0896419323055541E7,2.2219867650333378E8,5.213881244579753E7,6.776342604030846E8,12.70857567132782
2018-04-01 00:00:00,false,8083,103814.0,42177.0,5.388350679583315E7,8.336649461738881E8,5.187491507191501E7,6.510795473402865E8,12.103426945441047
2018-04-01 00:00:00,true,8083,70249.0,141972.0,1.190661501E7,2.1911810688472217E8,5.187491507191501E7,6.510795473402865E8,12.103426945441047
2018-05-01 00:00:00,false,8097,107045.0,40772.0,5.9569769563611194E7,9.973559038586097E8,5.208029041233045E7,6.612716939664412E8,12.325799678893445
2018-05-01 00:00:00,true,8097,65153.0,136881.0,8496394.993888881,2.0308646639555594E8,5.208029041233045E7,6.612716939664412E8,12.325799678893445
2018-06-01 00:00:00,false,8045,98275.0,37421.0,5.985792789138882E7,9.397728339538894E8,5.141437483438552E7,5.851845014058733E8,11.037165941578639
2018-06-01 00:00:00,true,8045,58024.0,114637.0,8050119.8283333145,1.6650146120416707E8,5.141437483438552E7,5.851845014058733E8,11.037165941578639
2018-07-01 00:00:00,false,7993,107611.0,39588.0,6.512508801444457E7,1.1626186185805578E9,5.0986060076283775E7,6.21103685206212E8,11.550731890404059
2018-07-01 00:00:00,true,7993,68569.0,120499.0,8915407.993055534,1.8873251663944498E8,5.0986060076283775E7,6.21103685206212E8,11.550731890404059
