year,vessel_class,registry_type,length_bin,emissions_co2_mt,distance_travelled_nm,vessel_hours,n_unique_vessels
2015,bunker,imo,0-25m,3235.37225,6482.78589,5492.78611,2
2015,bunker,imo,100-125m,69568.9944,673370.502,103642.511,16
2015,bunker,imo,25-50m,60345.9797,55384.1744,99287.7072,17
2015,bunker,imo,50-75m,26107.1772,21918.0693,44674.3344,10
2015,bunker,imo,75-100m,19431.0474,220851.299,36911.1378,7
2015,bunker,no_registry,0-25m,80539.6301,156266.717,147785.874,168
2015,bunker,no_registry,100-125m,413.101123,1207.85472,418.271944,9
2015,bunker,no_registry,25-50m,711095.753,1252149.08,1039468.4,1167
2015,bunker,no_registry,50-75m,312686.629,427390.915,311599.181,354
2015,bunker,no_registry,75-100m,22952.2998,52584.1745,35588.3711,51
2015,bunker,other_registry,100-125m,45614.7889,443866.573,71443.6814,14
2015,bunker,other_registry,25-50m,37553.6066,39568.2916,59272.6692,15
2015,bunker,other_registry,50-75m,16097.8951,31675.2743,24186.4261,5
2015,bunker,other_registry,75-100m,7978.93258,108131.18,16172.3839,2
2015,cargo.bulk_carrier,imo,0-25m,44.3457397,155.104779,420.304722,2
2015,cargo.bulk_carrier,imo,100-125m,641837.36,5543508.97,1239301.87,199
2015,cargo.bulk_carrier,imo,125-150m,1044432.99,6917688.71,1340446,224
2015,cargo.bulk_carrier,imo,150-175m,3294457.32,18782816.5,3530466.49,594
2015,cargo.bulk_carrier,imo,175-200m,19170897,92647711.3,15619392.3,2398
2015,cargo.bulk_carrier,imo,200-225m,10436035.3,41683818.1,6371926.63,977
2015,cargo.bulk_carrier,imo,225m+,35624208.1,105093674,13873127.2,2011
2015,cargo.bulk_carrier,imo,25-50m,42461.9249,453665.298,77124.6569,13
2015,cargo.bulk_carrier,imo,50-75m,50083.3493,548936.497,127530.647,22
2015,cargo.bulk_carrier,imo,75-100m,201034.929,2019253.18,499719.319,88
2015,cargo.bulk_carrier,no_registry,0-25m,372.156574,2829.15679,1760.28083,6
2015,cargo.bulk_carrier,no_registry,100-125m,296182.13,2701471.22,777102.861,179
2015,cargo.bulk_carrier,no_registry,125-150m,392114.383,2689808.72,762160.344,138
2015,cargo.bulk_carrier,no_registry,150-175m,1204558.46,6823087.4,1947599.93,326
2015,cargo.bulk_carrier,no_registry,175-200m,1736206.61,8277035.48,1865982.72,286
2015,cargo.bulk_carrier,no_registry,200-225m,1111012.77,4333051.54,850088.325,126
2015,cargo.bulk_carrier,no_registry,225m+,1471674.29,4545952.16,648178.749,104
2015,cargo.bulk_carrier,no_registry,25-50m,37383.482,313339.127,151837.854,413
2015,cargo.bulk_carrier,no_registry,50-75m,96982.0932,849054.369,386009.22,586
2015,cargo.bulk_carrier,no_registry,75-100m,99637.8311,940568.768,328665.279,174
2015,cargo.bulk_carrier,other_registry,0-25m,1624.37044,41030.1463,8406.27639,1
2015,cargo.bulk_carrier,other_registry,100-125m,267258.923,2384510.25,482587.892,80
2015,cargo.bulk_carrier,other_registry,125-150m,448945.36,3173709.08,562152.895,93
2015,cargo.bulk_carrier,other_registry,150-175m,1566729.47,8930923.72,1707696.13,276
2015,cargo.bulk_carrier,other_registry,175-200m,9489195.16,45642868.3,7721107.78,1144
2015,cargo.bulk_carrier,other_registry,200-225m,4974665.54,19824300.4,3098063.84,476
2015,cargo.bulk_carrier,other_registry,225m+,17461421.2,51262148.4,6782355.12,967
2015,cargo.bulk_carrier,other_registry,25-50m,10352.0733,180500.101,34374.2444,9
2015,cargo.bulk_carrier,other_registry,50-75m,28171.3809,400850.016,105041.437,16
2015,cargo.bulk_carrier,other_registry,75-100m,91322.1961,1045374.34,259937.013,44
2015,cargo.container,imo,100-125m,580329.871,3462165.62,598594.338,93
2015,cargo.container,imo,125-150m,3299726.94,16307449.5,2295797.11,340
2015,cargo.container,imo,150-175m,5081074.16,19218642.7,2605094.15,399
2015,cargo.container,imo,175-200m,5915701.54,18994001.4,2417737.9,368
2015,cargo.container,imo,200-225m,5976908.83,15842550,1817498.36,273
2015,cargo.container,imo,225m+,59616370.1,102859818,9668067.43,1356
2015,cargo.container,imo,50-75m,21667.0909,91694.8807,42487.4311,7
2015,cargo.container,imo,75-100m,157488.459,1184113.96,224471.177,38
2015,cargo.container,no_registry,100-125m,167446.564,966330.198,197772.053,45
2015,cargo.container,no_registry,125-150m,706558.486,3217356.95,528600.924,90
2015,cargo.container,no_registry,150-175m,1060013.12,3652366.65,590608.063,95
2015,cargo.container,no_registry,175-200m,781535.315,2426977.39,337226.872,57
2015,cargo.container,no_registry,200-225m,1183499.2,3140677.59,365023.805,54
2015,cargo.container,no_registry,225m+,5579298.26,10282565.1,967247.495,143
2015,cargo.container,no_registry,25-50m,108948.498,304055.55,191218.155,63
2015,cargo.container,no_registry,50-75m,327736.375,1191439.14,567367.593,179
2015,cargo.container,no_registry,75-100m,243127.381,1094499.61,396151.149,95
2015,cargo.container,other_registry,100-125m,255240.036,1487269.46,303593.886,52
2015,cargo.container,other_registry,125-150m,1635967.53,8088531.39,1090908.39,158
2015,cargo.container,other_registry,150-175m,2478937.12,9271069.5,1320626.42,205
2015,cargo.container,other_registry,175-200m,2981818.72,9393678.99,1215244.39,178
2015,cargo.container,other_registry,200-225m,2979605.03,7635582.02,898334.909,134
2015,cargo.container,other_registry,225m+,29850251.2,51335641,4785800.74,661
2015,cargo.container,other_registry,25-50m,2140.91641,10485.8583,4359.11639,1
2015,cargo.container,other_registry,50-75m,8407.05725,40712.6124,14245.0789,3
2015,cargo.container,other_registry,75-100m,38991.0297,317942.142,52744.2992,11
2015,cargo.general,imo,0-25m,2316.40318,124964.276,43936.8356,17
2015,cargo.general,imo,100-125m,5708681.68,45387731.4,11023661.3,1981
2015,cargo.general,imo,125-150m,5921358.5,31052002.6,5842608.19,952
2015,cargo.general,imo,150-175m,3545561.55,15173125.6,2662527.45,431
2015,cargo.general,imo,175-200m,2640389.32,10461861.4,1619515.57,239
2015,cargo.general,imo,200-225m,579074.933,2207343.62,300019.263,44
2015,cargo.general,imo,225m+,355657.321,924274.823,161962.815,30
2015,cargo.general,imo,25-50m,121249.58,1748596.19,794132.081,166
2015,cargo.general,imo,50-75m,591305.451,10410354.1,3632410,812
2015,cargo.general,imo,75-100m,3272087.86,45876468.6,12034107.5,2199
2015,cargo.general,no_registry,0-25m,31164.0782,107707.537,69164.9644,181
2015,cargo.general,no_registry,100-125m,2482416.2,16846157.1,4939642.8,1745
2015,cargo.general,no_registry,125-150m,1084662.95,5015195.69,1067760.71,211
2015,cargo.general,no_registry,150-175m,830717.128,3206059.47,695252.01,119
2015,cargo.general,no_registry,175-200m,210209.816,823616.053,134886.552,21
2015,cargo.general,no_registry,200-225m,16715.329,61129.057,12426.5731,3
2015,cargo.general,no_registry,225m+,71846.6537,159660.319,23600.7439,3
2015,cargo.general,no_registry,25-50m,2919344.85,14642024.6,8028868.51,7924
2015,cargo.general,no_registry,50-75m,7836443.79,52696716.9,24157562.4,16009
2015,cargo.general,no_registry,75-100m,3860600.67,30394801.6,10812514.2,5190
2015,cargo.general,other_registry,0-25m,1720.21977,81824.0749,42771.5161,11
2015,cargo.general,other_registry,100-125m,2884714.65,23401570.4,5725289.79,1034
2015,cargo.general,other_registry,125-150m,2797320.02,14527695.3,2842170.78,460
2015,cargo.general,other_registry,150-175m,1658835.7,7246114.4,1261751.88,210
2015,cargo.general,other_registry,175-200m,1404439.14,5722107.57,865531.873,130
2015,cargo.general,other_registry,200-225m,399673.61,1416095.3,198585.256,27
2015,cargo.general,other_registry,225m+,159381.992,416076.456,57257.95,12
2015,cargo.general,other_registry,25-50m,62760.5336,712488.324,377196.83,86
2015,cargo.general,other_registry,50-75m,216125.26,3872826.84,1473254.63,353
2015,cargo.general,other_registry,75-100m,1647019.97,23861221.2,6275321.34,1133
2015,cargo.refrigerated,imo,100-125m,82370.2664,231570.041,48640.9503,9
2015,cargo.refrigerated,imo,125-150m,482444.027,1288799.26,144908.966,22
2015,cargo.refrigerated,imo,150-175m,501553.098,1214706.13,132646.056,18
2015,cargo.refrigerated,imo,175-200m,109420.334,216145.513,24444.73,3
2015,cargo.refrigerated,imo,200-225m,76739.8999,114898.346,15218.2364,2
2015,cargo.refrigerated,imo,225m+,43857.6341,87349.6181,23006.9564,3
2015,cargo.refrigerated,imo,25-50m,95.6970622,1726.67122,362.435556,1
2015,cargo.refrigerated,imo,50-75m,21836.3482,109815.494,32379.4156,7
2015,cargo.refrigerated,imo,75-100m,37388.4105,179452.509,38895.06,8
2015,cargo.refrigerated,no_registry,125-150m,13744.1027,4491.65152,6300.70944,1
2015,cargo.refrigerated,no_registry,150-175m,37607.0723,108945.887,7843.35111,1
2015,cargo.refrigerated,no_registry,25-50m,11879.6158,59006.8992,17682.4686,18
2015,cargo.refrigerated,no_registry,50-75m,8029.397,45471.3083,12904.4656,13
2015,cargo.refrigerated,no_registry,75-100m,154.038071,1992.53514,234.430833,1
2015,cargo.refrigerated,other_registry,100-125m,37872.8463,112651.564,15573.6022,2
2015,cargo.refrigerated,other_registry,125-150m,287947.321,814666.875,81690.4994,12
2015,cargo.refrigerated,other_registry,150-175m,167816.586,369429.333,31769.2864,4
2015,cargo.refrigerated,other_registry,175-200m,48210.3585,109405.534,8721.59694,1
