vessel_class,year,emissions_co2_mt,n_unique_vessels,share_emissions,share_vessels
IMO registry,2015,378853830.5301446,56653,0.5513106837367415,0.22685518876235325
No registry,2015,122263743.89988397,165315,0.17791903582269733,0.661969631444909
Other registry,2015,186069961.93749174,27764,0.27077028044056106,0.11117517979273782
IMO registry,2016,405307680.8163686,60608,0.53845471400318,0.21441939284160177
No registry,2016,148333958.8750419,192418,0.1970629306657702,0.680737703468112
Other registry,2016,199082164.69889694,29635,0.26448235533104986,0.10484290369028625
IMO registry,2017,430950113.2313441,63690,0.5228589655384678,0.20150408291755387
No registry,2017,180517655.1670881,221241,0.21901670644515017,0.6999680453566106
Other registry,2017,212750886.4113383,31142,0.25812432801638197,0.09852787172583549
IMO registry,2018,440342949.15284145,64826,0.5111838413975115,0.18775070450681627
No registry,2018,202601965.028957,248605,0.23519588756317034,0.7200161030129433
Other registry,2018,218473060.12075365,31846,0.2536202710393181,0.0922331924802405
IMO registry,2019,418543431.43628055,65909,0.47342162071974436,0.17532066798959392
No registry,2019,258622023.78352574,277673,0.29253178632683186,0.7386216729532311
Other registry,2019,206916329.63819757,32352,0.23404659295342375,0.08605765905717493
IMO registry,2020,388986618.7487429,65207,0.44250558898782694,0.16557984815012317
No registry,2020,298364374.1803356,296483,0.3394150255202846,0.7528579771971255
Other registry,2020,191703709.26914325,32120,0.21807938549188852,0.08156217465275133
IMO registry,2021,383643912.24503,65864,0.40765538221413694,0.15463464911147998
No registry,2021,368259722.1152716,327681,0.3913083278044841,0.7693252225115218
Other registry,2021,189194972.41218546,32388,0.20103628998137898,0.07604012837699826
IMO registry,2022,372310578.191476,65270,0.37063368384505035,0.14515443925285607
No registry,2022,448774809.80977154,352397,0.44675351902334315,0.7836983136109807
Other registry,2022,183439010.1296215,31992,0.1826127971316065,0.07114724713616317
IMO registry,2023,349166650.3480163,63780,0.3311993609085928,0.13269503236235855
No registry,2023,532541761.83906066,385504,0.5051384231639433,0.8020455590438801
Other registry,2023,172540754.81050748,31367,0.16366221592746374,0.06525940859376138
IMO registry,2024,336507521.3821671,62606,0.2953898523159898,0.12303453480305553
No registry,2024,638275489.4733534,415457,0.5602849582619804,0.8164642162999239
Other registry,2024,164414963.42760476,30786,0.14432518942202988,0.06050124889702053
IMO registry,2025,315777369.7693384,61038,0.26549014967790935,0.1151990759614078
No registry,2025,718975824.8209534,438708,0.6044796670703271,0.827988404221588
Other registry,2025,154659558.2083984,30102,0.13003018325176371,0.05681251981700412
