threshold_hours,cumulative_emissions_co2_mt,total_emissions_co2_mt,fraction_of_total
0.1,3734729753.3264313,8777256015.149118,0.42550083384607545
0.2,4866480857.096024,8777256015.149118,0.5544421683378853
0.3,5900235215.344137,8777256015.149118,0.6722186529777208
0.4,6338829028.287685,8777256015.149118,0.7221880069747508
0.5,6559173207.709958,8777256015.149118,0.7472920006422443
0.6,6758895842.642758,8777256015.149118,0.7700465647780163
0.7,6867374032.721398,8777256015.149118,0.7824055742328404
0.8,6951020244.644171,8777256015.149118,0.7919354559838572
0.9,7022481283.153122,8777256015.149118,0.8000770709015049
1,7086084439.045538,8777256015.149118,0.8073234307869452
1.1,7190711482.076421,8777256015.149118,0.8192436758897771
1.2,7255549883.319339,8777256015.149118,0.8266307682943976
1.3,7304604890.748882,8777256015.149118,0.8322196456548024
1.4,7346204119.315506,8777256015.149118,0.8369590799945124
1.5,7384465376.405002,8777256015.149118,0.8413182164972484
1.6,7425199569.8664665,8777256015.149118,0.8459590966756504
1.7,7462606257.590016,8777256015.149118,0.8502208713873584
1.8,7493075526.551754,8777256015.149118,0.8536922602712134
1.9,7518130389.587596,8777256015.149118,0.8565467814327926
2,7541674770.913223,8777256015.149118,0.8592292121702566
2.1,7564138662.189002,8777256015.149118,0.8617885417872813
2.2,7585497324.90888,8777256015.149118,0.8642219518055164
2.3,7606222592.02515,8777256015.149118,0.8665831985414552
2.4,7625990114.196082,8777256015.149118,0.8688353286077098
2.5,7644602927.743197,8777256015.149118,0.8709559017703236
2.6,7662419644.654418,8777256015.149118,0.8729857749881572
2.7,7679317008.254826,8777256015.149118,0.874910905526818
2.8,7695602048.735348,8777256015.149118,0.8767662735885922
2.9,7711562739.007518,8777256015.149118,0.8785846881642434
3,7727091803.770013,8777256015.149118,0.8803539272904227
3.1,7742323234.592448,8777256015.149118,0.8820892567369089
3.2,7756993587.672371,8777256015.149118,0.8837606621345185
3.3,7771244681.469706,8777256015.149118,0.8853843009770838
3.4,7785003503.605916,8777256015.149118,0.8869518549042409
3.5,7798491484.824515,8777256015.149118,0.8884885517027984
3.6,7811300185.791384,8777256015.149118,0.8899478575433436
3.7,7823641752.41519,8777256015.149118,0.8913539423838115
3.8,7835551569.730402,8777256015.149118,0.8927108376702947
3.9,7847147858.723869,8777256015.149118,0.8940320124171008
4,7858579277.325019,8777256015.149118,0.8953344033444498
4.1,7869708478.545008,8777256015.149118,0.8966023623968895
4.2,7880513081.281801,8777256015.149118,0.8978333396770491
4.3,7891002457.720978,8777256015.149118,0.8990284029657435
4.4,7901117278.510618,8777256015.149118,0.9001807928210904
4.5,7910985955.547437,8777256015.149118,0.9013051393161438
4.6,7920696195.583813,8777256015.149118,0.9024114349533698
4.7,7930240008.567839,8777256015.149118,0.9034987694195804
4.8,7939525568.845724,8777256015.149118,0.9045566809424822
4.9,7948674838.171053,8777256015.149118,0.905599064725015
5,7957526951.417995,8777256015.149118,0.9066075932710279
5.1,7966110752.374386,8777256015.149118,0.9075855527770028
5.2,7974542295.62036,8777256015.149118,0.9085461654367477
5.3,7982821230.056789,8777256015.149118,0.90948939124925
5.4,7990883081.260594,8777256015.149118,0.9104078845904366
5.5,7998745707.636602,8777256015.149118,0.9113036800830642
5.6,8006418234.560922,8777256015.149118,0.912177817388741
5.7,8013939166.492096,8777256015.149118,0.913034683352112
5.8,8021404121.929496,8777256015.149118,0.9138851718674881
5.9,8028682173.771244,8777256015.149118,0.9147143663024216
6,8035881430.519435,8777256015.149118,0.915534583547511
6.1,8042922358.186476,8777256015.149118,0.9163367622301072
6.2,8049768151.396852,8777256015.149118,0.9171167090834929
6.3,8056516375.171089,8777256015.149118,0.9178855397707362
6.4,8063184440.611752,8777256015.149118,0.9186452379530785
6.5,8069698846.421823,8777256015.149118,0.9193874295672718
6.6,8076113584.112636,8777256015.149118,0.920118265910628
6.7,8082351308.1445675,8777256015.149118,0.9208289349421757
6.8,8088422466.076752,8777256015.149118,0.9215206269609234
6.9,8094386218.078241,8777256015.149118,0.9222000821336103
7,8100318930.360248,8777256015.149118,0.9228760009255159
7.1,8106123563.636028,8777256015.149118,0.9235373275708549
7.2,8111815341.175234,8777256015.149118,0.9241857964692649
7.3,8117417040.070259,8777256015.149118,0.9248240026336239
7.4,8122933409.825995,8777256015.149118,0.9254524871789322
7.5,8128378092.507609,8777256015.149118,0.9260728043568995
7.6,8133774601.267009,8777256015.149118,0.92668763304027
7.7,8139074365.718224,8777256015.149118,0.9272914395650048
7.8,8144319724.845378,8777256015.149118,0.927889047646403
7.9,8149498705.913544,8777256015.149118,0.9284790932209228
8,8154625869.058174,8777256015.149118,0.9290632351367768
8.1,8159723149.449821,8777256015.149118,0.9296439724859951
8.2,8164800408.584994,8777256015.149118,0.930222428796989
8.3,8169830402.355198,8777256015.149118,0.9307955001260606
8.4,8174728220.190168,8777256015.149118,0.9313535125420728
8.5,8179538715.684672,8777256015.149118,0.9319015762519841
8.6,8184316154.558944,8777256015.149118,0.9324458737939523
8.7,8188990909.078912,8777256015.149118,0.932978472422943
8.8,8193640660.66768,8777256015.149118,0.9335082224474087
8.9,8198291380.983063,8777256015.149118,0.9340380828396949
9,8202905693.144063,8777256015.149118,0.9345637952209945
9.1,8207491298.207006,8777256015.149118,0.9350862369789914
9.2,8212059021.065744,8777256015.149118,0.9356066414027492
9.3,8216526894.123264,8777256015.149118,0.9361156698564946
9.4,8220984677.142481,8777256015.149118,0.9366235487438739
9.5,8225385042.115894,8777256015.149118,0.9371248859460495
9.6,8229738216.085993,8777256015.149118,0.9376208466383872
9.7,8234082446.70759,8777256015.149118,0.9381157884076713
9.8,8238482219.367612,8777256015.149118,0.9386170581270947
9.9,8242945635.756352,8777256015.149118,0.9391255788288991
10,8247486770.486125,8777256015.149118,0.9396429540452463
10.1,8251933343.832469,8777256015.149118,0.9401495558053715
10.2,8256298963.601571,8777256015.149118,0.9406469344578304
10.3,8260703555.187098,8777256015.149118,0.9411487532014019
10.4,8265164212.096304,8777256015.149118,0.9416569595134323
10.5,8269625135.737531,8777256015.149118,0.9421651962144614
10.6,8274016104.087662,8777256015.149118,0.9426654628516146
10.7,8278393262.755962,8777256015.149118,0.9431641561403538
10.8,8282713150.442902,8777256015.149118,0.9436563244990621
10.9,8286941184.959519,8777256015.149118,0.9441380279504962
11,8291179445.280401,8777256015.149118,0.9446208964362242
11.1,8295384070.580689,8777256015.149118,0.94509993285638
11.2,8299578989.373204,8777256015.149118,0.9455778634061184
11.3,8303754323.985065,8777256015.149118,0.9460535627140405
11.4,8308019207.563416,8777256015.149118,0.9465394644093982
11.5,8312441792.943859,8777256015.149118,0.9470433332008303
11.6,8317075361.449611,8777256015.149118,0.9475712394733322
11.7,8321765213.650591,8777256015.149118,0.9481055581935434
11.8,8326498178.904526,8777256015.149118,0.9486447888193523
11.9,8331215607.013695,8777256015.149118,0.9491822492854738
12,8335941775.967757,8777256015.149118,0.9497207056032462
12.1,8340449245.0547905,8777256015.149118,0.9502342452652149
12.2,8344828957.090899,8777256015.149118,0.9507332294612495
12.3,8349059607.52104,8777256015.149118,0.9512152309458637
12.4,8353179791.140659,8777256015.149118,0.9516846468558597
12.5,8357275097.795661,8777256015.149118,0.9521512285128073
12.6,8361360295.605177,8777256015.149118,0.9526166584606709
12.7,8365411988.91677,8777256015.149118,0.9530782712135176
12.8,8369475717.221378,8777256015.149118,0.9535412551230212
12.9,8373579629.194537,8777256015.149118,0.9540088171909472
13,8377720093.661,8777256015.149118,0.9544805437145119
13.1,8381891005.307688,8777256015.149118,0.9549557391103723
13.2,8386084404.393312,8777256015.149118,0.9554334965186543
13.3,8390352171.953606,8777256015.149118,0.9559197267884478
13.4,8394589671.085475,8777256015.149118,0.9564025085512853
13.5,8398723372.041036,8777256015.149118,0.9568734645024876
13.6,8402764206.328879,8777256015.149118,0.9573338400778234
13.7,8406766591.968065,8777256015.149118,0.9577898351669808
13.8,8410757286.977355,8777256015.149118,0.9582444983330548
13.9,8414725751.1972065,8777256015.149118,0.958696628726996
14,8418707020.702589,8777256015.149118,0.9591502180376542
14.1,8422691199.874449,8777256015.149118,0.9596041388490084
14.2,8426676001.584231,8777256015.149118,0.9600581305866204
14.3,8430663566.993647,8777256015.149118,0.9605124371948055
14.4,8434677705.265494,8777256015.149118,0.9609697712710726
14.5,8438720716.337719,8777256015.149118,0.961430394849244
14.6,8442783418.913208,8777256015.149118,0.9618932618965851
14.7,8446806608.973901,8777256015.149118,0.9623516272506034
14.8,8450833191.520418,8777256015.149118,0.9628103791133231
14.9,8454869881.76096,8777256015.149118,0.9632702825539399
15,8458911005.600942,8777256015.149118,0.963730691118189
15.1,8462964607.801153,8777256015.149118,0.9641925213522867
15.2,8467019229.723382,8777256015.149118,0.9646544677641529
15.3,8471026625.842324,8777256015.149118,0.9651110337013917
15.4,8475030646.649142,8777256015.149118,0.965567215086543
15.5,8479082302.717176,8777256015.149118,0.9660288235962003
15.6,8483107081.414749,8777256015.149118,0.9664873699449256
15.7,8487134041.236923,8777256015.149118,0.9669461647909713
15.8,8491166522.123046,8777256015.149118,0.9674055886563755
15.9,8495167848.092788,8777256015.149118,0.9678614630165213
16,8499182465.769812,8777256015.149118,0.9683188517118145
16.1,8503194996.611829,8777256015.149118,0.9687760026522784
16.2,8507192547.436463,8777256015.149118,0.9692314469070358
16.3,8511163957.701172,8777256015.149118,0.9696839129462915
16.4,8515131742.80583,8777256015.149118,0.9701359659680799
16.5,8519100487.145252,8777256015.149118,0.9705881282762743
16.6,8523046861.405681,8777256015.149118,0.971037741942962
16.7,8526987384.761131,8777256015.149118,0.9714866890112314
16.8,8530889109.442227,8777256015.149118,0.9719312157146067
16.9,8534743536.654463,8777256015.149118,0.9723703537784371
17,8538639334.736328,8777256015.149118,0.9728142052594855
17.1,8542495907.139477,8777256015.149118,0.9732535877266817
17.2,8546375552.277865,8777256015.149118,0.9736955988895887
17.3,8550212718.915835,8777256015.149118,0.9741327704419904
17.4,8554010527.243497,8777256015.149118,0.9745654578697134
17.5,8557810418.476574,8777256015.149118,0.9749983826045644
17.6,8561566926.370619,8777256015.149118,0.9754263646399022
17.7,8565322324.90365,8777256015.149118,0.9758542202848269
17.8,8569049218.287352,8777256015.149118,0.9762788283146336
17.9,8572771632.156326,8777256015.149118,0.9767029259896416
18,8576459510.089014,8777256015.149118,0.9771230889570113
18.1,8580137823.599969,8777256015.149118,0.9775421622419429
18.2,8583789462.002443,8777256015.149118,0.9779581964098163
18.3,8587417139.20845,8777256015.149118,0.9783715006588602
18.4,8591019491.125721,8777256015.149118,0.97878191957692
18.5,8594603349.353704,8777256015.149118,0.979190231493742
18.6,8598172742.413574,8777256015.149118,0.9795968953820584
18.7,8601722133.13882,8777256015.149118,0.9800012803879328
18.8,8605248413.793518,8777256015.149118,0.9804030324444538
18.9,8608759311.65397,8777256015.149118,0.980803031926569
19,8612262419.89713,8777256015.149118,0.9812021439311764
19.1,8615728449.679953,8777256015.149118,0.9815970315562885
19.2,8619187931.781511,8777256015.149118,0.9819911731986866
19.3,8622598952.160858,8777256015.149118,0.9823797935571972
19.4,8626013701.870056,8777256015.149118,0.9827688388013264
19.5,8629417711.044184,8777256015.149118,0.9831566603674573
19.6,8632802658.865688,8777256015.149118,0.9835423102579997
19.7,8636170982.33117,8777256015.149118,0.9839260661219813
19.8,8639516624.806671,8777256015.149118,0.9843072379221119
19.9,8642839267.614237,8777256015.149118,0.9846857893511497
20,8646194041.845018,8777256015.149118,0.9850680015396733
20.1,8649527813.931265,8777256015.149118,0.9854478209365888
20.2,8652853639.520607,8777256015.149118,0.9858267349825732
20.3,8656153680.452,8777256015.149118,0.9862027113612611
20.4,8659464891.725763,8777256015.149118,0.9865799603862467
20.5,8662787246.476095,8777256015.149118,0.986958478996687
20.6,8666080929.96858,8777256015.149118,0.9873337310671291
20.7,8669350206.47024,8777256015.149118,0.9877062024290235
20.8,8672589459.074411,8777256015.149118,0.9880752531435727
20.9,8675818862.23389,8777256015.149118,0.9884431817027837
21,8679037813.900293,8777256015.149118,0.9888099195147886
21.1,8682240476.141357,8777256015.149118,0.9891748014591611
21.2,8685443267.210094,8777256015.149118,0.9895396980809766
21.3,8688637147.155071,8777256015.149118,0.9899035794511297
21.4,8691821660.966002,8777256015.149118,0.9902663937299241
21.5,8695010700.880798,8777256015.149118,0.9906297236714563
21.6,8698239924.64383,8777256015.149118,0.9909976317918822
21.7,8701435093.099043,8777256015.149118,0.9913616599630668
21.8,8704650356.40749,8777256015.149118,0.9917279775574149
21.9,8707969824.727076,8777256015.149118,0.9921061673144251
22,8711483871.833387,8777256015.149118,0.9925065255927124
22.1,8714762792.888197,8777256015.149118,0.9928800957664832
22.2,8717895540.456142,8777256015.149118,0.9932370122746195
22.3,8720950864.441067,8777256015.149118,0.9935851078502357
22.4,8724042039.86374,8777256015.149118,0.9939372880096544
22.5,8727136863.84352,8777256015.149118,0.9942898838521862
22.6,8730249212.492672,8777256015.149118,0.9946444762947195
22.7,8733362050.977242,8777256015.149118,0.994999124544605
22.8,8736436167.402391,8777256015.149118,0.9953493611583992
22.9,8739503407.013369,8777256015.149118,0.9956988142910962
23,8742650259.64159,8777256015.149118,0.9960573378003558
23.1,8745949993.540545,8777256015.149118,0.9964332791985854
23.2,8749247362.01269,8777256015.149118,0.9968089511017922
