data_source,inventory_version,scope,year,emissions_co2_mt
CEDS,CEDS v_2025_03_18,All sectors,2017,36659375717.327415
CEDS,CEDS v_2025_03_18,All sectors,2018,37333574849.374084
CEDS,CEDS v_2025_03_18,All sectors,2019,37409599025.33008
CEDS,CEDS v_2025_03_18,All sectors,2020,35718600862.65773
CEDS,CEDS v_2025_03_18,All sectors,2021,37819846165.44958
CEDS,CEDS v_2025_03_18,All sectors,2022,38087297421.52554
CEDS,CEDS v_2025_03_18,All sectors,2023,38712217039.81295
CEDS,CEDS v_2025_03_18,Other transportation,2017,7289567104.928516
CEDS,CEDS v_2025_03_18,Other transportation,2018,7495223975.724054
CEDS,CEDS v_2025_03_18,Other transportation,2019,7527971040.500442
CEDS,CEDS v_2025_03_18,Other transportation,2020,6412600785.335702
CEDS,CEDS v_2025_03_18,Other transportation,2021,6943847085.175205
CEDS,CEDS v_2025_03_18,Other transportation,2022,7235600508.003273
CEDS,CEDS v_2025_03_18,Other transportation,2023,7527893709.178875
CEDS,CEDS v_2025_03_18,Shipping,2017,1039748478.113499
CEDS,CEDS v_2025_03_18,Shipping,2018,1031211388.251052
CEDS,CEDS v_2025_03_18,Shipping,2019,1029634037.8350811
CEDS,CEDS v_2025_03_18,Shipping,2020,937145571.1273551
CEDS,CEDS v_2025_03_18,Shipping,2021,979189213.955632
CEDS,CEDS v_2025_03_18,Shipping,2022,975333154.407868
CEDS,CEDS v_2025_03_18,Shipping,2023,1014130993.4218969
CEDS,CEDS v_2025_03_18,Shipping (inland),2017,172047669.762673
CEDS,CEDS v_2025_03_18,Shipping (inland),2018,174605536.67041302
CEDS,CEDS v_2025_03_18,Shipping (inland),2019,179493049.50810298
CEDS,CEDS v_2025_03_18,Shipping (inland),2020,159936426.368399
CEDS,CEDS v_2025_03_18,Shipping (inland),2021,173250805.181984
CEDS,CEDS v_2025_03_18,Shipping (inland),2022,175412499.392308
CEDS,CEDS v_2025_03_18,Shipping (inland),2023,190566094.26558098
CEDS,CEDS v_2025_03_18,Shipping (international),2017,867700808.350826
CEDS,CEDS v_2025_03_18,Shipping (international),2018,856605851.580639
CEDS,CEDS v_2025_03_18,Shipping (international),2019,850140988.3269781
CEDS,CEDS v_2025_03_18,Shipping (international),2020,777209144.7589561
CEDS,CEDS v_2025_03_18,Shipping (international),2021,805938408.773648
CEDS,CEDS v_2025_03_18,Shipping (international),2022,799920655.01556
CEDS,CEDS v_2025_03_18,Shipping (international),2023,823564899.1563159
