vessel_class,year,data_source,n_vessels,emissions_co2_mt,distance_travelled_nm,emissions_per_vessel,emissions_per_distance_kg_nm
Cargo: bulk carrier,2016,GFW (AIS),12670,118486430.9725426,466333248.26429254,9351.7309370594,254.0810277061585
Cargo: bulk carrier,2016,ICCT,11383,130697512.089081,537860239.274806,11481.816049291136,242.9953035110008
Cargo: container,2016,GFW (AIS),5141,137172668.20901045,295482078.9567885,26682.09846508665,464.23346110635254
Cargo: container,2016,ICCT,5239,181812236.08089,372213506.165649,34703.61444567475,488.4622214648405
Cargo: general,2016,GFW (AIS),46885,65871450.895127915,417674348.8777814,1404.9578947451832,157.7100702308224
Cargo: general,2016,ICCT,11702,40677376.4964898,337113143.068454,3476.104639932473,120.66387007708528
Cargo: ro ro,2016,GFW (AIS),2505,35217880.098230094,104277113.38899408,14059.03397134934,337.73355392811595
Cargo: ro ro,2016,ICCT,1564,15825280.7659253,42453057.1154641,10118.465962867838,372.7712876574141
Fishing,2016,GFW (AIS),72448,25163976.012852225,234673992.71611577,347.3384498240424,107.2295047337989
Fishing,2016,ICCT,21659,28582083.68899,316715938.72309893,1319.6400428916386,90.24516986490846
Passenger,2016,GFW (AIS),84334,108921479.37293716,199221817.03453243,1291.5488340756654,546.7346949960661
Passenger,2016,ICCT,8899,66593879.793222845,136444016.9039188,7483.299223870417,488.0674235801556
Reefer,2016,GFW (AIS),779,10281463.760683559,29865677.07849043,13198.284673534736,344.256844861166
Reefer,2016,ICCT,788,12421983.898505,35757793.9469401,15763.938957493656,347.3923452027718
Tanker: chemical,2016,GFW (AIS),4928,53771101.98451006,180042883.9535571,10911.343746856748,298.6571910188939
Tanker: chemical,2016,ICCT,4891,55679953.0717935,202574058.30426496,11384.16542052617,274.86220860601287
Tanker: liquefied gas,2016,GFW (AIS),1379,41019767.95495712,74255949.72721197,29746.024622884062,552.4105220611696
Tanker: liquefied gas,2016,ICCT,1799,43950606.4929295,96415746.76839648,24430.57614948833,455.8446930718147
Tanker: oil,2016,GFW (AIS),10202,130811993.72597936,213306847.72744483,12822.191112132852,613.2573572749329
Tanker: oil,2016,ICCT,7362,118741185.083691,228612415.926607,16128.930329216382,519.3995461813031
Tug,2016,GFW (AIS),28062,11200708.138053767,99604208.47187312,399.14147737345047,112.45215749309124
Tug,2016,ICCT,20192,19111484.8626511,133649186.388388,946.4879587287588,142.99739025056712
Cargo: bulk carrier,2017,GFW (AIS),13107,125021071.98603337,494747771.42143893,9538.496374916713,252.69658441682438
Cargo: bulk carrier,2017,ICCT,11341,135255282.901443,561432593.05909,11926.22192941037,240.91099194023383
Cargo: container,2017,GFW (AIS),5322,144657563.11947054,301948530.0066471,27181.05282214779,479.0802032263116
Cargo: container,2017,ICCT,5242,186925572.15747,375455416.90247,35659.208729009915,497.86356446690087
Cargo: general,2017,GFW (AIS),50225,79665998.50862876,470995955.54149973,1586.1821504953461,169.14369979469885
Cargo: general,2017,ICCT,11703,40277796.4733501,336667413.987451,3441.6642291164744,119.63675366232926
Cargo: ro ro,2017,GFW (AIS),2601,36367137.91548898,107864704.23411262,13981.983050937708,337.15512570781925
Cargo: ro ro,2017,ICCT,1621,16171978.3899584,43697685.84021,9976.544349141517,370.08775359625963
Fishing,2017,GFW (AIS),81195,28835407.77740915,275278687.3688869,355.13772741436236,104.74987385699168
Fishing,2017,ICCT,22028,30123462.9398267,339079754.495305,1367.5078509091475,88.838872095632
Passenger,2017,GFW (AIS),100688,129039901.68398152,237734008.91999593,1281.581734506411,542.7910893784112
Passenger,2017,ICCT,9205,68232421.34907927,148044664.5055351,7412.538984147666,460.89078304154754
Reefer,2017,GFW (AIS),826,10115242.974210862,29373011.355261445,12246.056869504675,344.37201047821634
Reefer,2017,ICCT,777,11858256.5566801,34054946.8107116,15261.591450038739,348.209516302936
Tanker: chemical,2017,GFW (AIS),5100,57188787.39932359,190778879.7821717,11213.487725357567,299.76477199478705
Tanker: chemical,2017,ICCT,5047,57897455.7494249,209312813.009496,11471.657568738834,276.60731761699765
Tanker: liquefied gas,2017,GFW (AIS),1460,45181191.1497739,81668281.40253109,30946.021335461577,553.228136724004
Tanker: liquefied gas,2017,ICCT,1887,47573930.866063,104111355.553697,25211.41010390196,456.95237193915915
Tanker: oil,2017,GFW (AIS),10583,139620367.924315,227661949.03820133,13192.891233517434,613.2793315447146
Tanker: oil,2017,ICCT,7639,123357146.226699,239169784.95989,16148.336984775362,515.772283891908
Tug,2017,GFW (AIS),31053,12342897.34818004,113480667.33494475,397.47841909574083,108.76652065985182
Tug,2017,ICCT,20450,18378225.3385297,130223524.329408,898.6907256004743,141.12830560506796
Cargo: bulk carrier,2018,GFW (AIS),13189,125825264.7715759,500435599.12111735,9540.167167455902,251.4314828772267
Cargo: bulk carrier,2018,ICCT,11627,137730144.707552,565932311.347433,11845.716410729508,243.36858303712881
Cargo: container,2018,GFW (AIS),5315,149750984.1630339,309812107.4256037,28175.161648736386,483.36065819827314
Cargo: container,2018,ICCT,5244,193529781.29766,382103625.555186,36904.992619691075,506.48506937474514
Cargo: general,2018,GFW (AIS),51326,80297563.11279272,473036991.8037585,1564.4617369908567,169.74901435637514
Cargo: general,2018,ICCT,11878,41911331.8470763,343719872.476006,3528.483906977294,121.9345612610804
Cargo: ro ro,2018,GFW (AIS),2747,36533199.598138526,108722102.074427,13299.30819007591,336.02366861090763
Cargo: ro ro,2018,ICCT,1617,16861051.2912403,44950062.8768727,10427.3662901919,375.10628933770624
Fishing,2018,GFW (AIS),89737,31526825.952819582,303135832.5515444,351.324715031922,104.00230710916976
Fishing,2018,ICCT,22430,31029885.4020875,348412793.807648,1383.4099599682345,89.06069453700515
Passenger,2018,GFW (AIS),117307,145641128.4702955,261805384.03270513,1241.538258333224,556.2953909767639
Passenger,2018,ICCT,9466,70665417.69648081,160638703.06008393,7465.182516002621,439.90281513944814
Reefer,2018,GFW (AIS),842,9642439.97047807,28364037.855622336,11451.828943560655,339.9530073806731
Reefer,2018,ICCT,766,11341738.4746235,32410943.0359104,14806.447094808746,349.93546661253197
Tanker: chemical,2018,GFW (AIS),5243,58237604.61102278,193052931.23885784,11107.687318524277,301.6665131023956
Tanker: chemical,2018,ICCT,5275,59925571.1815142,212675213.430667,11360.29785431549,281.77035873082684
Tanker: liquefied gas,2018,GFW (AIS),1560,50527004.95482672,88731678.84358619,32389.10574027354,569.4359175136804
