vessel_class,year,data_source,n_vessels,emissions_co2_mt,distance_travelled_nm,emissions_per_vessel,emissions_per_distance_kg_nm
Tanker: liquefied gas,2018,ICCT,1919,52938313.9235983,111632403.928731,27586.406421885513,474.21995818880225
Tanker: oil,2018,GFW (AIS),11091,142963511.3722871,233033772.93758613,12890.04700859139,613.4883779724809
Tanker: oil,2018,ICCT,7754,123939448.011491,240204646.46302,15983.937066222723,515.9743986491608
Tug,2018,GFW (AIS),32386,13217610.635554478,121721519.64479436,408.1272968429098,108.58893870308127
Tug,2018,ICCT,20775,18906420.693932,136988117.827727,910.0563510917931,138.01504096660608
Cargo: bulk carrier,2019,GFW (AIS),13688,124885173.743073,505761236.2780474,9123.697672638296,246.92515911681318
Cargo: bulk carrier,2019,ICCT,11899,137169981.7664,577536043.009334,11527.857951626187,237.50895450897963
Cargo: container,2019,GFW (AIS),5410,144658549.81711212,307039720.214278,26739.103478209265,471.1395311204599
Cargo: container,2019,ICCT,5293,186468246.586126,379548859.653595,35229.21718989722,491.2891761980554
Cargo: general,2019,GFW (AIS),55639,80879029.53006512,484634462.2508102,1453.6391655145692,166.88666578607496
Cargo: general,2019,ICCT,12063,41490020.8292304,345972086.207241,3439.4446513496146,119.92302987235054
Cargo: ro ro,2019,GFW (AIS),3009,36355769.803863585,108672523.89577128,12082.342905903484,334.5442665777479
Cargo: ro ro,2019,ICCT,1633,16696632.2922821,44952148.8814003,10224.51456967673,371.4312376107699
Fishing,2019,GFW (AIS),94985,33421050.490890536,317524924.3385754,351.8560877074331,105.25488844854843
Fishing,2019,ICCT,22697,31483752.4467966,356337164.873666,1387.1327685067013,88.35382763950174
Passenger,2019,GFW (AIS),133761,162440640.49047157,284449455.3154857,1214.4095849348582,571.0703165534525
Passenger,2019,ICCT,9676,73129221.16032559,167852207.69559598,7557.794663117568,435.6762545116308
Reefer,2019,GFW (AIS),830,8992842.860618744,25910049.365877308,10834.750434480415,347.0793410552905
Reefer,2019,ICCT,736,10694167.899532,29779263.4474563,14530.119428711956,359.1145871824939
Tanker: chemical,2019,GFW (AIS),5430,59464932.039569974,197894730.0325173,10951.184537674028,300.48769883765436
Tanker: chemical,2019,ICCT,5423,61303260.7112737,221611125.242547,11304.307709989618,276.62537539204783
Tanker: liquefied gas,2019,GFW (AIS),1589,54658019.47310535,93824375.5279364,34397.746679109725,582.556709443068
Tanker: liquefied gas,2019,ICCT,1954,54702743.979392,117160490.609128,27995.263039606958,466.9043608044613
Tanker: oil,2019,GFW (AIS),11191,146703951.72681466,238344472.43130013,13109.101217658355,615.5122887068434
Tanker: oil,2019,ICCT,7680,125394496.482888,243817975.681407,16327.408396209375,514.2955359728643
Tug,2019,GFW (AIS),35324,13635019.245227316,124631599.28604718,385.99873302081636,109.40258588781337
Tug,2019,ICCT,21111,18987064.3972945,140531605.873356,899.391994566553,135.10885525925906
Cargo: bulk carrier,2020,GFW (AIS),14206,126975735.6371802,515036230.2552295,8938.17651958188,246.53748256555963
Cargo: bulk carrier,2020,ICCT,12166,136848810.040156,587728021.62241,11248.46375473911,232.84377297918846
Cargo: container,2020,GFW (AIS),5461,140142485.23138997,297054445.62744826,25662.421760005487,471.7737347285827
Cargo: container,2020,ICCT,5381,178004025.690727,362247880.606444,33080.101410653595,491.3873488858736
Cargo: general,2020,GFW (AIS),58276,80295522.95715421,471800985.0431059,1377.8489079064145,170.18939235537638
Cargo: general,2020,ICCT,12390,39674099.7999812,335766088.391749,3202.1065213866987,118.15993684773836
Cargo: ro ro,2020,GFW (AIS),3089,32556099.37244508,95562919.2833955,10539.36528729203,340.6771121746367
Cargo: ro ro,2020,ICCT,1774,17049695.7449426,42577347.80754729,9610.876970091658,400.4405305377044
Fishing,2020,GFW (AIS),99058,34140748.69805578,323010324.8550575,344.65412887455614,105.69553376776906
Fishing,2020,ICCT,27050,34190343.5307445,368528701.92221,1263.9683375506286,92.7752529244289
Passenger,2020,GFW (AIS),141807,154242125.10085675,223484328.8978875,1087.6904884868643,690.1697575910645
Passenger,2020,ICCT,10549,60718129.583275065,116591597.34782639,5755.818521497305,520.7762048420639
Reefer,2020,GFW (AIS),786,8751580.579234473,25457061.657513782,11134.32643668508,343.77811143225165
Reefer,2020,ICCT,709,10300860.4252157,28677071.8358936,14528.717101855713,359.2019605126716
Tanker: chemical,2020,GFW (AIS),5469,60802998.050576806,198014683.7215655,11117.754260482137,307.06307687804485
Tanker: chemical,2020,ICCT,6344,65691757.5335381,232227909.664948,10354.94286468129,282.8762383828729
Tanker: liquefied gas,2020,GFW (AIS),1664,58719950.17739247,100319097.13512374,35288.43159699067,585.3317250084524
Tanker: liquefied gas,2020,ICCT,2081,57548998.9795893,121685698.31435,27654.492541849733,472.93149299207937
Tanker: oil,2020,GFW (AIS),11315,150425413.70255145,232553616.60223347,13294.336164609054,646.8418590962767
Tanker: oil,2020,ICCT,8188,123539626.256157,241047100.616052,15087.887915993771,512.5123925590589
Tug,2020,GFW (AIS),37229,13820173.091219608,125588739.14236484,371.220636901867,110.04309132806358
Tug,2020,ICCT,21774,17495331.1810983,125762248.395351,803.4964260631166,139.11433203785697
Cargo: bulk carrier,2021,GFW (AIS),14899,136551128.8117731,535453297.0176601,9165.120398132296,255.01968065623737
Cargo: bulk carrier,2021,ICCT,12444,142827637.679136,599419336.683359,11477.630800316298,238.27666032499744
Cargo: container,2021,GFW (AIS),5803,154257739.15252152,313435552.01654816,26582.41239919378,492.15137899984404
Cargo: container,2021,ICCT,5444,191678093.559627,376076045.052031,35209.05465827094,509.6790824129941
Cargo: general,2021,GFW (AIS),57288,81170628.58580953,476046146.46065056,1416.887106999887,170.51000032098568
Cargo: general,2021,ICCT,12457,39582117.6892814,344664705.453589,3177.5000151947816,114.84238758125856
Cargo: ro ro,2021,GFW (AIS),3215,36000253.73522929,105929280.84156013,11197.590586385471,339.8517713820352
Cargo: ro ro,2021,ICCT,1814,17826782.5721063,45742588.2390512,9827.333281205238,389.71958645941424
Fishing,2021,GFW (AIS),106466,36500437.16791431,347434468.1783316,342.8365597271834,105.05704099910811
Fishing,2021,ICCT,27265,34338930.5043117,372407789.68214095,1259.4509629309262,92.20787388368221
Passenger,2021,GFW (AIS),164357,178301525.33369884,270701507.821679,1084.8429049793974,658.6646922231131
Passenger,2021,ICCT,10774,61602212.27278483,127824864.1918864,5717.673312862895,481.9266788369879
Reefer,2021,GFW (AIS),768,8848370.41468603,25280023.86340122,11521.315644122435,350.01432207886984
Reefer,2021,ICCT,709,10112465.8423262,27888125.497484695,14262.998367173765,362.6083023485487
Tanker: chemical,2021,GFW (AIS),5632,62567204.081069864,203812440.76278755,11109.233679167235,306.9842245493264
Tanker: chemical,2021,ICCT,6499,65884206.5191401,235415787.439029,10137.591401621803,279.86316141267133
Tanker: liquefied gas,2021,GFW (AIS),1773,64343966.63568103,109074137.73561212,36291.01333089737,589.9103854631992
Tanker: liquefied gas,2021,ICCT,2176,60769868.3941309,131597410.778991,27927.32922524398,461.7862010688782
Tanker: oil,2021,GFW (AIS),11517,149030257.6629659,234438620.32190493,12940.024108966389,635.6898767717289
Tanker: oil,2021,ICCT,8329,119420576.957141,240387035.362035,14337.924955833952,496.784598958457
Tug,2021,GFW (AIS),38546,14762878.69430083,136294303.16699347,382.9937916852807,108.31618307782634
Tug,2021,ICCT,22094,17591208.67256,129774080.011675,796.1984553525843,135.55255927052167
Cargo: bulk carrier,2022,GFW (AIS),15523,141090997.75570878,569654959.9584343,9089.157878999471,247.67799400184924
Cargo: bulk carrier,2022,ICCT,12824,139985319.207648,603577775.364614,10915.885777265128,231.92590072271062
Cargo: container,2022,GFW (AIS),5931,158958093.6033738,342499641.13124216,26801.229742602223,464.1117084921639
Cargo: container,2022,ICCT,5743,191256419.211118,397385613.26304,33302.52815795194,481.28672208503014
Cargo: general,2022,GFW (AIS),54607,74700281.83846653,435881201.809708,1367.9616503097868,171.37761740658482
Cargo: general,2022,ICCT,12381,39372548.1251698,333898412.336162,3180.078194424505,117.9177458487893
Cargo: ro ro,2022,GFW (AIS),3514,37606474.9126204,111395442.25949693,10701.899519812294,337.5943768418792
Cargo: ro ro,2022,ICCT,1833,18534502.349854,46678772.6448672,10111.567021196945,397.06490337406194
Fishing,2022,GFW (AIS),112471,47338765.588762924,438715447.6380724,420.897525484462,107.90311999183591
Fishing,2022,ICCT,27163,33801404.6039156,358779205.01037693,1244.3914370252035,94.2122735428269
Passenger,2022,GFW (AIS),182248,208166770.2187883,334641847.7543154,1142.217035132283,622.0583935205213
Passenger,2022,ICCT,11353,79395844.25636719,161779607.57199922,6993.380098332352,490.7654644979433
Reefer,2022,GFW (AIS),708,8963650.998024765,25957763.567873128,12660.524008509556,345.3167671624343
Reefer,2022,ICCT,686,10007920.5800666,27868851.5886641,14588.805510301167,359.10774967625184
Tanker: chemical,2022,GFW (AIS),5852,66775469.69012551,211906564.17644536,11410.709106309896,315.11751393658807
Tanker: chemical,2022,ICCT,6695,69032204.9076839,242275702.970537,10311.00894812306,284.9324305379432
Tanker: liquefied gas,2022,GFW (AIS),1843,63218569.77494724,110620322.1815266,34301.991196390256,571.4914631256121
Tanker: liquefied gas,2022,ICCT,2232,61085653.8667185,132089190.092949,27368.124492257393,462.45763051263714
Tanker: oil,2022,GFW (AIS),11824,162151422.98874107,255945455.88913855,13713.753635718967,633.5389797229926
Tanker: oil,2022,ICCT,8220,124736982.983311,248879336.393364,15174.815448091362,501.1946141890988
Tug,2022,GFW (AIS),38833,15629657.627314337,145555182.23873645,402.4839087197573,107.37960261475892
Tug,2022,ICCT,22237,17806374.5206263,132260944.563269,800.754351784247,134.63063173655436
Cargo: bulk carrier,2023,GFW (AIS),16040,145509641.1847849,601512841.8845812,9071.673390572623,241.90612577595707
Cargo: bulk carrier,2023,ICCT,12816,140612550.130801,618739667.716196,10971.640927809067,227.2564011449437
Cargo: container,2023,GFW (AIS),6338,158406584.5021816,363852888.6171727,24993.14996878851,435.3588756824433
Cargo: container,2023,ICCT,5836,181194922.658524,402093851.730609,31047.79346444894,450.62843383121225
Cargo: general,2023,GFW (AIS),55040,81425668.68505669,452294393.8162326,1479.3907827953612,180.02802996965724
Cargo: general,2023,ICCT,12292,38383195.6486198,319205365.481037,3122.6159818271885,120.24608543398695
Cargo: ro ro,2023,GFW (AIS),3732,37299449.32313865,112429647.27482107,9994.493387764911,331.75812810267496
Cargo: ro ro,2023,ICCT,1823,18520665.7260136,46586721.5021302,10159.443623704663,397.55245977476073
Fishing,2023,GFW (AIS),121866,59162929.02072274,511687157.7903496,485.4752680872658,115.62324385120331
Fishing,2023,ICCT,26972,33490597.7667145,354586039.456423,1241.6801782112746,94.44984866876108
Passenger,2023,GFW (AIS),198621,213465820.94601735,356221403.89648837,1074.7394331214593,599.2504060986935
Passenger,2023,ICCT,10800,78706834.13679095,162011019.6650432,7287.669827480643,485.8116089850977
Reefer,2023,GFW (AIS),684,8844349.364262782,25654514.11845221,12930.335327869565,344.7482701651096
Reefer,2023,ICCT,665,9658760.78735457,26642409.1341023,14524.452311811383,362.53331066038436
Tanker: chemical,2023,GFW (AIS),5954,69047726.1402187,216751606.8319265,11596.863644645398,318.55692859411965
Tanker: chemical,2023,ICCT,6491,67549212.6536409,235763822.266852,10406.595694598813,286.5122053254827
Tanker: liquefied gas,2023,GFW (AIS),1876,66086442.807460934,119656556.087832,35227.31492935018,552.3010603694062
Tanker: liquefied gas,2023,ICCT,2321,63217255.9787761,140521049.937566,27237.07711278591,449.877481038348
Tanker: oil,2023,GFW (AIS),11972,174816894.06031704,273051299.09545434,14602.146179445126,640.2346175954426
Tanker: oil,2023,ICCT,8188,129537848.496655,257044108.692702,15820.450475898266,503.95182817248843
Tug,2023,GFW (AIS),40463,16511181.717925414,154563210.1863227,408.05629137546435,106.82478513497186
Tug,2023,ICCT,22293,17759934.0889533,129933223.384122,796.65967294457,136.6850881275342
