data_source,inventory_version,year,shipping_co2_mt,all_sectors_co2_mt,shipping_share,shipping_share_percent
CEDS,CEDS v_2025_03_18,2017,1039748478.113499,36659375717.327415,0.028362416374211514,2.84%
CEDS,CEDS v_2025_03_18,2018,1031211388.251052,37333574849.37408,0.02762155492506609,2.76%
CEDS,CEDS v_2025_03_18,2019,1029634037.8350812,37409599025.33008,0.027523257791079635,2.75%
CEDS,CEDS v_2025_03_18,2020,937145571.1273552,35718600862.65773,0.02623690593959129,2.62%
CEDS,CEDS v_2025_03_18,2021,979189213.955632,37819846165.44958,0.025890883047805017,2.59%
CEDS,CEDS v_2025_03_18,2022,975333154.407868,38087297421.52554,0.02560783306868724,2.56%
CEDS,CEDS v_2025_03_18,2023,1014130993.4218968,38712217039.81295,0.02619666531573044,2.62%
EDGAR,EDGAR 2025,2017,881212553.0298889,37020041687.86408,0.023803661823502704,2.38%
EDGAR,EDGAR 2025,2018,886708291.8009264,37905976014.4302,0.02339230868144302,2.34%
EDGAR,EDGAR 2025,2019,874850014.0718845,38008503145.15738,0.023017218297988886,2.30%
EDGAR,EDGAR 2025,2020,797773420.1243864,36209875311.87746,0.022031929501361833,2.20%
EDGAR,EDGAR 2025,2021,832929894.4205941,38220010658.60075,0.021793031453097137,2.18%
EDGAR,EDGAR 2025,2022,837033365.0310053,38548133232.010414,0.021713979247532843,2.17%
EDGAR,EDGAR 2025,2023,890123126.379619,39112703144.07766,0.02275790356653984,2.28%
EDGAR,EDGAR 2025,2024,860275609.8970959,39632679052.20353,0.021706218970561002,2.17%
