year,gfw_intensity_kg_nm,icct_intensity_kg_nm,intensity_percent_difference,icct_co2_mt_with_distance,icct_n_vessels_with_distance,gfw_co2_mt,icct_co2_mt,co2_percent_difference,gfw_distance_nm,icct_distance_nm,distance_percent_difference,gfw_n_vessels,icct_n_vessels,icct_n_vessels_identified,vessels_percent_difference,gfw_co2_per_vessel_t,icct_co2_per_vessel_t,co2_per_vessel_percent_difference
2016,315.0933074850561,291.5197259430942,8.08644473909923,761002985.254905,108833,752723804.3903072,799410377.3439778,-5.840125957431985,2388891755.265245,2610468237.759855,-8.487997643087708,282661,217221,108833,30.12600070895539,2662.9913726701143,3680.1707815725817,-27.639462113978695
2017,315.48360461619677,290.65330072750925,8.542928577290176,783769553.3291504,110268,824218654.8097978,838814150.1103402,-1.740015389418803,2612556223.9993587,2696578884.07723,-3.1158984657934097,316073,235137,110268,34.42078447883574,2607.684474187285,3567.342230743525,-26.901196871044885
2018,318.04026008029166,292.2624430729735,8.820092221319676,806938280.3134645,112207,861417974.3026382,868861486.9819568,-0.8566972746339774,2708518645.0456514,2761005731.1126504,-1.901013296551446,345277,244776,112207,41.058355394319705,2494.860573691958,3549.618781996425,-29.714689747929356
2019,318.20548718585843,286.7354701316503,10.975278726332371,805601624.0729094,113741,884081784.85808,866652804.9661192,2.011068306949304,2778336076.7179446,2809563894.2159104,-1.1114827309054998,375934,253678,113741,48.1933790080338,2351.6941400833125,3416.3498804236833,-31.16354523408288
2020,326.69414198668363,288.41231315154863,13.273299054683395,786170859.1291006,123553,879054702.1983293,837721155.295255,4.934045970046719,2690757467.6810718,2725857473.0684285,-1.2876684028473973,393810,266772,123553,47.62043992622913,2232.179736924734,3140.213947847806,-28.916316722477063
2021,330.5678461784494,288.1978727880602,14.70169539438202,809617368.7925328,125288,941098606.7726038,864025346.7250316,8.920254520276249,2846915142.087272,2809241306.8847423,1.3410679641581824,425933,256047,125288,66.34953738961988,2209.499162480023,3374.4794773031185,-34.52325974002209
2022,326.0962305693415,290.78147433808476,12.144775148294729,834280206.0209619,126791,1004524398.1309534,883927514.1070014,13.643300168768535,3080453878.222153,2869096829.2256613,7.366675353844188,449659,268019,126791,67.77131472022506,2233.9692925771606,3298.00317927834,-32.26297334661783
2023,320.1620087696607,287.61851466331916,11.314811963491422,827515424.6695598,125867,1054249166.9977355,889507880.7480416,18.52049766115089,3292861545.469034,2877128496.537276,14.449582263430628,480651,278273,125867,72.72642333248285,2193.3776627901234,3196.529597726124,-31.38253234537858
