imo,ship_name,mmsi,call_sign,consumption_value_1,consumption_speed_1,consumption_value_2,consumption_speed_2
9698329,MARIA,538010802,V7A7449,29.5,13.8,NA,NA
9754109,ZHEJIANG ZENGZHOU (ZZ063),NA,NA,11,12,17.6,14
9718430,SILVER ETREMA,538006745,V7QV9,24.3,15,NA,NA
9493676,HEROIC STRIKER,232049490,MOCU6,34,14,NA,NA
9637636,SHENG TAI HAI,414079000,BIBD4,34,14,NA,NA
9254252,GINGA MERLIN,564580000,9V2695,27,15.3,NA,NA
9418602,MOSCOW SPIRIT,311000449,C6CE5,39.5,12.5,NA,NA
9623609,XIN XIN HAI 1,412208780,BSAV,29.6,15.2,NA,NA
9940057,MCASPHALT ADVANTAGE,316017550,VAAT,9.3,11,NA,NA
9533684,ALDEMIR SOUZA TIDE,577047000,YJRD4,16,12,24,14.2
9839870,MARAN FIDELITY,241688000,SVDG3,52.8,14.8,NA,NA
8814732,C. KOREANA,NA,DSPY8,45,13.5,NA,NA
9475715,IVORY GULL,636019704,D5FP3,23,14,NA,NA
9224714,EILEEN,355753000,3EVZ5,33,14,NA,NA
9249726,CBO VITORIA,710010160,PPOM,10.8,12,17.1,14
9253088,CENTURY,NA,NA,57,14.3,NA,NA
9312793,NYK VENUS,372512000,3EJG5,248,25.5,NA,NA
7621865,CHERAMIE BO-TRUC No. 22,NA,WDC3313,7.3,9,9,10
7419200,DANIA,341936001,V4LG6,12,12.5,NA,NA
9372652,TARNBRIS,219015298,OZDU2,18,14,NA,NA
9151515,TOI CHALLENGER,636016319,D5FN6,19.5,14,NA,NA
9248837,PETROGARUDA,NA,YCRF2,50,15,NA,NA
8008553,SAO MAI-01,574078068,3WJA,16,10,30,16
1047641,HUANGPU WENCHONG LONGXUE H2520,NA,NA,23.8,14,NA,NA
9203071,SEABULK NEBRASKA,677038600,5IM486,10,11,12.7,12
9102095,STOLT CREATIVITY,319498000,ZCSP4,53.2,16.2,NA,NA
9849277,VEGA SAGE,636024433,5LSO7,20.6,12,46,16.8
9262912,AUROURA,352001225,3E3982,27,15.1,NA,NA
9680243,CHIOS VICTORY,241337000,SVCA5,16,11,NA,NA
8405763,TAI HU 3,NA,BITP,24,13.5,NA,NA
9467615,GAT FEELING,538005074,V7AV3,25,14,NA,NA
9564188,ALLIANZ LIBERTY,376145000,J8B5986,5,10.5,12.2,12.5
9695121,CSCL GLOBE,477712400,VRNU2,195.5,23,NA,NA
9202596,MALAVIYA TEN,NA,VWGO,17,10,41.2,15
9280603,CMA CGM CHOPIN,229488000,9HA3373,200,25,NA,NA
9871000,DEHANG,477369800,VRSV9,28.4,14.3,NA,NA
9402122,SUNSET,311025800,C6XY4,28,14,NA,NA
9347542,HYUNDAI COURAGE,538007479,V7PP4,300,27.5,NA,NA
9881029,KAYAN DHARMA BHAKTI,525300618,YCQN2,1.9,8,NA,NA
9946099,LAKE QARAOUN,636021540,5LEK9,44.05,19.5,NA,NA
9292565,STARLET,NA,NA,56.8,14,NA,NA
9827475,CHEMICAL ENTERPRISE,563061100,9V5702,13.8,15.7,NA,NA
9284738,PYXIS LEADER,354591000,H9ML,33.2,15.8,NA,NA
9247429,INDRI,352004304,3E6628,41,12.5,55,15.3
9262091,CAROLINE,636020186,D5YB9,24,14.5,NA,NA
9670614,ATLANTIC SUN,215801000,9HA5292,70,18,NA,NA
9260768,KIMBERLY K,367508040,WDF9712,5.5,10,NA,NA
9053816,AL DIAB II,511100397,T8A3535,11,14,NA,NA
9242596,STAR COMET,304416000,V2OF2,32,18,NA,NA
9410856,COMMODORE,345070081,XCCG9,9,11,12.4,12.5
9872688,PERTAMINA HALMAHERA,636020118,D5XT4,43.2,14.5,NA,NA
9610810,VIKTOR BAKAEV,273258810,UBSZ2,52.6,15,NA,NA
9871335,WAN HAI 286,563129900,9V6504,59,21.13,NA,NA
9795658,COSCO SHIPPING STAR,477318200,VRSQ4,197,19,NA,NA
9561552,DHUN,431280000,7KQB,45.8,14,NA,NA
9236339,AU LIBRA,373461000,3EXJ4,15,13.6,NA,NA
9306811,NCC QASSIM,403500000,HZAM,35.5,14.5,NA,NA
9573713,ASL TIA,636018088,D5OC9,29.5,13.75,NA,NA
9675664,NSU OBELISK,431113000,7KEE,62,14,68.6,15
9222560,CHEETAH II,355804000,3EKB4,33.6,15.3,NA,NA
9757319,NEW MINGZHOU 28,477915200,VRPI9,35,20,NA,NA
7620524,BIN HAI 518,412300660,BFKR,2.5,8.7,NA,NA
9861768,CSC LEADER,352898760,3E2045,56.5,14,NA,NA
9503433,PACIFIC PYTHON,577053000,YJQC7,9.3,10,16.8,13.5
9134684,BOAT BLESSING,351218000,HPOF,49.5,19.5,NA,NA
9834337,ELANDRA REDWOOD,636018545,D5QE7,24.3,15,NA,NA
9602368,YANGZE 21,636021587,5LER7,35.5,14,NA,NA
9329588,HAKATA VOYAGER,441973000,D7AJ,30,17.5,NA,NA
9285677,GSL ELENI,636019342,D5QI4,250,25.2,NA,NA
9334909,NEW ANSTEEL,477192200,VREY3,76.9,14.5,NA,NA
9738454,SOPHIANA,538006303,V7LM9,27.7,15.3,NA,NA
9641508,DING HENG 27,538009668,V7A5020,10,13,NA,NA
9283784,LEONORA VICTORY,259266000,LAZU7,30,14.5,NA,NA
7503855,SUNTRAS,NA,H9QJ,24,13,NA,NA
9445265,FPMC B GUARD,636014905,A8XI9,52,14,NA,NA
7910149,BOCA GRANDE II,775333000,YYLH,46,12,NA,NA
9360972,ADMIRAL STAR,636021459,5LEA5,33,18,NA,NA
8817667,ARGOSY,NA,V7FT4,18,14,NA,NA
9056923,FEN JIN HAI,NA,BOHD,32,13.5,NA,NA
9273533,MIDNIGHT PEARL,577060000,YJQB4,8,10,NA,NA
9284520,STAR HARMONY,353071000,3FZX9,32,14,NA,NA
9904194,ALICANTE KNUTSEN,NA,NA,104,19.5,NA,NA
9431264,KIRSTEN MAERSK,220530000,OYDH2,33,14.2,NA,NA
9358761,MOL COMFORT,NA,C6XF2,240,24.5,NA,NA
9718234,APOLLONIUS,538006904,V7N08,67,14.5,NA,NA
9357236,BBC VERMONT,305160000,V2DB5,25,14,NA,NA
7403029,EBUYE LULU,NA,NA,16,10,NA,NA
8907321,PREVENTER,NA,3ETS2,31.5,13.5,NA,NA
9741217,AZERTRANS,423487100,4JSW,7.08,12,NA,NA
9642203,F CHARM,355142000,3FCZ5,30.8,13,NA,NA
9595591,NGM GLORY,636019103,D5SY5,69,14.3,NA,NA
9705366,ASTREA,538006600,V7BK9,35.5,14,NA,NA
9584619,ELDORA,352920000,3FBP6,39,14,NA,NA
9728356,XING ZHI HAI,477588200,VRPC9,25.8,14.7,NA,NA
9610511,JM SAMUDERA,533000489,9MLT9,18,12.5,NA,NA
9147710,ANNEGRET,304081024,V2LL,42,18,NA,NA
9752864,OCEAN DAHAB,438031041,JYAX2,9,10,NA,NA
9067568,YUAN HE,NA,BOAH,120,24,NA,NA
9375496,KMTC MANILA,440728000,D7SD,133.4,24,NA,NA
8507248,GEHREMAN HAGIYEV,423024100,4JIO,10,11.7,NA,NA
9793260,VEGA SONG,636018926,D5SB5,55,16.25,NA,NA
9337640,NYK NEBULA,354891000,3ENG6,198,25,NA,NA
9538476,TIAN E ZUO,477340400,VRJW9,48,14.7,NA,NA
9103128,STAR HANSA,259725000,LAXP4,40,15,NA,NA
8316522,TRUE BROTHERS,NA,V3VY4,18,13,NA,NA
8214683,APOSTOLOS D,NA,A8OT7,36,14,NA,NA
9076997,JIN DA,NA,NA,10.2,12.25,NA,NA
9892808,EPIC BREEZE,215858000,9HA5335,10.2,13.6,NA,NA
8219310,MAJOR HUBAL,NA,9HEA7,29,13,NA,NA
9399002,MSC DANIELA,370892000,3FIA2,240,24.1,NA,NA
9675509,HAFNIA LIONESS,563622000,9V2343,34.6,15.2,NA,NA
7505853,MS NORMA,NA,NA,11,12,NA,NA
9581320,BRITOIL 70,565428000,9V8518,11,10,NA,NA
9648661,JINHAI J0162,NA,NA,24.9,14.4,NA,NA
9748069,STAR TOKYO,636024942,5LVA8,30,14.5,NA,NA
9376921,CHEM MELBOURNE,538006172,V7KL8,18,13.4,NA,NA
9233600,SARWAR JAHAN,405000183,S2DY,30,14,NA,NA
9666869,MILD WALTZ,477698400,VRNL7,31,18,NA,NA
9439034,ARES VENTURE,370876000,3FZO,62,14,NA,NA
9574042,ZUDAR,636092183,A8XZ5,20,12.25,25,14
9544138,AGIA IOANNA,538010200,V7A5743,26,14,NA,NA
9719549,STAR CARIOCA,538006268,V7LF4,29,13.7,NA,NA
9853993,CITY - 41,NA,NA,4.9,10,NA,NA
9350654,SURREY QUAYS,NA,NA,50,15.3,NA,NA
9037290,ERNA SU,636024202,5LRM2,15,13,NA,NA
8409800,SUNNY PARTNER,NA,3FLV8,42,13.5,NA,NA
9305843,COTE DES FLANDRES,228085000,FMAB,140,25,NA,NA
9217981,LATITUDE,NA,NA,66.5,12.5,92,15
