ssvid,flag,main_engine_power_kw,tonnage_gt,length_m,design_speed_betz_2011_knots,registries_listed,ship_name_registry,ship_name_ais,callsign_registry,callsign_ais,imo_registry,imo_ais,active_hours,on_fishing_list_best,vessel_class,vessel_class_source,avg_aux_boiler_power_berth_kw,avg_aux_boiler_power_anchored_kw,avg_aux_boiler_power_maneuvering_kw,avg_aux_boiler_power_sea_kw,avg_aux_engine_power_berth_kw,avg_aux_engine_power_anchored_kw,avg_aux_engine_power_maneuvering_kw,avg_aux_engine_power_sea_kw,main_engine_power_imo_table_81,design_speed_knots
455440000,MDV,488.9165954589844,1645.808837890625,51.84846496582031,13.12893768732171,NA,NA,MAANDHOOSTAR,NA,8QLO,NA,9887970,2901.158055555556,FALSE,cargo.general,gfw_research.cargo_subtypes_v20241001,0,0,0,0,24.44582977294922,24.44582977294922,24.44582977294922,24.44582977294922,1454,11.1
577141000,VUT,421.4363098144531,1931,85.45565032958984,13.112171297211022,IMO,BOBBYRAWLETIDE,BOBBYRAWLETIDE,YJTF6,YJTF6,9219927,NA,12251.089722222228,FALSE,cargo.general,gfw_research.cargo_subtypes_v20241001,0,0,0,0,21.071815490722656,21.071815490722656,21.071815490722656,21.071815490722656,1454,11.1
357275000,PAN,15517.1328125,60876,208.3463592529297,16.909600064246437,IMO;REV,MORNINGCHARLOTTE,MORNINGCHARLOTTE,3EMA2,3EMA2,9338694,9338694,75680.41879291217,FALSE,cargo.ro_ro,gfw_research.cargo_subtypes_v20241001,390,380,260,0,1200,950,2700,950,19505,19.1
538009733,MHL,11747.025390625,30363.501953125,194.0404052734375,16.587341702983686,NA,NA,VIKINGQUEEN,NA,V7A5096,NA,9318462,16222.271105555561,FALSE,cargo.ro_ro,gfw_research.cargo_subtypes_v20241001,390,380,260,0,1200,950,2700,950,19505,19.1
357079000,PAN,15030.7705078125,27061,246.8052215576172,17.49221117163637,IMO,HANJINCHENNAI,NEPTUNELEADER,3FXT6,3FUV4,9532276,9402744,66790.03159551918,FALSE,cargo.ro_ro,gfw_research.cargo_subtypes_v20241001,390,380,260,0,1200,950,2700,950,19505,19.1
215604000,MLT,10136.8017578125,29195,169.2204132080078,16.18288199718882,IMO,ATHENSTRADER,ATHENSTRADER,9HA2766,9HA2766,9070175,9070175,14733.626111111107,FALSE,cargo.container,gfw_research.cargo_subtypes_v20241001,460,450,430,0,610,910,1900,920,20630,21.1
414288000,DEU,8110.3603515625,30024,157.79583740234375,15.657536430066141,IMO,ZHONGHANGSHENG,ZHONGHANGSHENG,BVAG7,BVAG7,9243605,9243605,18519.43333333333,FALSE,cargo.container,gfw_research.cargo_subtypes_v20241001,460,450,430,0,610,910,1900,920,20630,21.1
636091335,LBR,9101.705078125,17917.82421875,149.90480041503906,15.953717515321078,NA,NA,FRISIAHELSINKI,NA,A8ME6,NA,9299044,34218.04083333333,FALSE,cargo.container,gfw_research.cargo_subtypes_v20241001,340,340,310,0,820,910,1750,900,12083,19
626254000,GAB,7566.11669921875,19260.046875,137.9332275390625,15.509622613120865,NA,NA,VENC,NA,TRAP8,NA,8813609,293.2572222222222,FALSE,cargo.container,gfw_research.cargo_subtypes_v20241001,340,340,310,0,820,910,1750,900,12083,19
538004893,MHL,10270,20920,172.1,16.2724048872,IMO;KOR,STARSHIPLEO,STARSHIPLEO,V7ZQ9,V7ZQ9,9650066,9650066,69598.16334611115,FALSE,cargo.container,gfw_research.cargo_subtypes_v20241001,340,340,310,0,820,910,1750,900,12083,19
271044302,DEU,6615.96484375,14062,136.08642578125,15.220187303122078,IMO,MEHMETKAHVECIA,MEHMETKAHVECIA,TCA3738,TCA3738,9248916,9248916,50717.616378686966,FALSE,cargo.container,gfw_research.cargo_subtypes_v20241001,340,340,310,0,820,910,1750,900,12083,19
