year,vessels_total,vessels_registry,vessels_no_registry,vessels_no_registry_pct,co2_mt_total,co2_mt_registry,co2_mt_no_registry,co2_no_registry_pct
2015,249732,84417,165315,66.1969631444909,687.1875363675201,564.9237924676361,122.263743899884,17.791903582269743
2016,282661,90243,192418,68.0737703468112,752.7238043903078,604.3898455152661,148.33395887504173,19.706293066576986
2017,316073,94832,221241,69.99680453566107,824.2186548097704,643.7009996426824,180.517655167088,21.90167064451501
2018,345277,96672,248605,72.00161030129432,861.4179743025525,658.8160092735955,202.60196502895707,23.51958875631703
2019,375934,98261,277673,73.86216729532312,884.0817848580036,625.459761074478,258.62202378352555,29.253178632683174
2020,393810,97327,296483,75.28579771971255,879.0547021982221,580.6903280178863,298.36437418033586,33.941502552028474
2021,425933,98252,327681,76.93252225115218,941.0986067724859,572.8388846572144,368.25972211527153,39.13083278044844
2022,449659,97262,352397,78.36983136109808,1004.5243981308685,555.7495883210972,448.7748098097712,44.67535190233431
2023,480651,95147,385504,80.204555904388,1054.2491669975834,521.7074051585232,532.5417618390603,50.51384231639436
2024,508849,93392,415457,81.64642162999239,1139.1979742831252,500.92248480977213,638.275489473353,56.028495826198004
2025,529848,91140,438708,82.7988404221588,1189.4127527986898,470.43692797773673,718.975824820953,60.447966707032684
