data_source,seim_model_version,year,n_days,emissions_co2_mt
SEIM,NA,2017,365,899931063.0110152
SEIM,NA,2018,365,938546002.4260697
SEIM,NA,2019,365,883953623.8826122
SEIM,NA,2020,366,800175562.2615867
SEIM,NA,2021,365,824964325.0034096
