year,emissions_co2_mt,emissions_co2_dark_mt
2019,941114884.7001718,283102551.0802699
2022,1081556088.644449,224892703.6987685
2024,944912883.0278282,173552689.7010683
2023,1113453395.786667,208630340.1864803
2016,838768064.2039878,250026593.28003812
2018,925324308.8155639,267559029.42212105
2017,898949639.0542734,250939250.7392221
2020,935596752.8694838,261509020.43662983
2021,1013659573.83216,257840227.64483523
