Table 3 - Inventory outputs. Representative versions STEAM3 / SEIMv2.2 / MariTEAM / OECD (2025 bottom-up) / SAVE / Fourth IMO GHG Study / emLab-GFW (v20260714),,,,,,,
Attribute,STEAM,SEIM,MariTEAM,OECD,SAVE (ICCT),Fourth IMO GHG Study,emLab/GFW
Pollutants and other outputs,"This dataset covers four air pollutants (NOx, SOx, PM2.5, CO) and one greenhouse gas (CO2). Fuel consumption also reported.","This dataset covers five air pollutants (NOx, SO2, PM2.5, CO, HC) and four greenhouse gases (CO2, CH4, N2O, BC)","This dataset covers six air pollutants (NMVOC, SO2, SO4, CO, OC, EC) and four greenhouse gases (CO2, CH4, N2O, BC). Fuel consumption also reported.",This dataset only covers CO2,"This dataset covers six air pollutants (NOx, SOx, PM10, PM2.5, CO, NMVOC) and four greenhouse gases (CO₂, CH₄, N₂O, BC). Fuel consumption also reported.","This dataset covers six air pollutants (NOx, SOx, CO, NMVOC, PM10, PM2.5) and six greenhouse gases (CO2, CH4, N2O, BC, HFCs, PFCs). Fuel consumption also reported.","This dataset covers six air pollutants (NOX, SOX, CO, PM10, PM2.5, NMVOCs) and three greenhouse gases (CO2, CH4, N2O). Fuel consumption also reported."
Spatial resolution,Published outputs at 0.1° by 0.1° resolution.,Published outputs at 0.1° by 0.1° resolution.,Published geospatial emissions flux output (kg m⁻² s⁻¹). Spatial resolution not specified.,The results are not reported spatially.,Published spatial resolution in the report is not specified. Available data not reported spatially.,The results are not reported at any defined spatial scale.,"Internal step: AIS message position (latitude/longitude). Emissions are estimated for every AIS message, enabling aggregation to any spatial resolution. Primary published outputs are provided at 0.1° by 0.1° resolution."
Temporal resolution,Internal step: AIS message timestamp (UTC seconds). Inventory output: daily,Internal step: AIS message timestamp (UTC seconds). Inventory output: daily,Internal step: AIS message timestamp (UTC seconds). Inventory output: results reported anually for 2017,Internal step: hourly (resampled from AIS message timestamp). Inventory output: monthly.,Internal step: hourly (resampled from AIS message timestamp). Inventory output: results reported anually,Internal step: hourly (resampled from AIS message timestamp). Inventory output: annual aggregates.,Internal step: AIS message timestamp (UTC seconds). Inventory output: full temporal variation retained
Disaggregation dimensions,"Internal step: ship-specific; inventory output: diagregated by vessel class (11 classes), size, flag and build year.",Internal step: ship-specific; inventory output: diagregated by vessel class (14 classes) and build year.,Internal step: ship-specific; inventory output: disaggregated by vessel class (14 classes) and fuel type,"Internal step: ship-specific; inventory output: diagregated by vessel class (19 classes), and country of operator residence.","Internal step: ship-specific. Inventory output: disaggregated by vessel class (20 classes), size, engine type, fuel type, operational phase, and by sector (international, domestic shipping, and fishing).","Internal step: ship-specific; inventory output: diagregated by vessel class (19 classes), size, engine type, fuel type, operational phase, and by sector, including international and domestic shipping and fishing.","Internal step: ship-specific; inventory output: ship-specific disaggregated by trip and port visit, with accompanying information, allowing aggregation by vessel class (37 classes), size, flag, build year, engine type, operational phase, port visit or trip, and by sector, including international and domestic shipping and fishing."
Data access,"STEAM3 emission datasets are available upon request. The latest version (4.2.5) is openly available through the Copernicus Atmosphere Monitoring Service, although without disaggregation by individual dimensions. See the CAMS-GLOB-SHIP datasets (DOI: 10.24381/1d158bec).",SEIMv2.2 emission datasets openly published on Zenodo (https://doi.org/10.5281/zenodo.10869014),Paper is open access but there is no inventory released with the article. The paper specifies no access route,Emissions dataset openly published on the OECD Data Explorer,Available open data aggregated annually and by vessel class from the ICCT page,"Report is publicly available containing all results, but no emissions inventory dataset is released with it.",Emission datasets available upon request
